Stand,Quadrat,Date,Light1,Light2,Light3,Light4,% Moisture1,% Moisture2,% Moisture3,% Moisture4,Veg%Cover,Nurselog%Cover,Moss%Cover,Litter%Cover,Bare%Cover,ABAM,CANO,PSME,THPL,TSHE,TSME,PICO,PIEN,ABLA,ABPR,PIMO,Field Notes,Lab Notes
PARA,6,30-06-15,2,0,1,4,9.2,12.6,7.7,11.7,45,0,10,90,0,2,4,0,0,0,0,0,0,0,0,0,,
PP17,1,18-06-15,9,11,11,13,0,0,0,0,0,0,0,90,10,,,1,,11,,11,1,,,,so dry- soil moisture did not work,blank cells are also blank on data sheet; measurements for soil moisture are listed as NA on data sheet but entered as 0 on excel sheet
PP17,2,18-06-15,9,15,3,11,0,0,0,0,5,0,0,95,1,,,3,,3,,,,,,,so dry- soil moisture did not work,measurements for soil moisture are listed as NA on data sheet but entered as 0 on excel sheet
PP17,3,18-06-15,69,36,58,13,0,0,0,0,10,0,25,40,40,0,0,1,0,2,0,0,0,0,0,0,so dry- soil moisture did not work,measurements for soil moisture are listed as NA on data sheet but entered as 0 on excel sheet
PP17,4,18-06-15,36,37,34,48,0,0,0,0,0,0,5,70,0,0,0,0,0,0,0,1,0,0,0,0,30 = rock ; so dry- soil moisture did not work,measurements for soil moisture are listed as NA on data sheet but entered as 0 on excel sheet
PP17,5,18-06-15,1,11,17,18,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,40 = rock ; so dry- soil moisture did not work,measurements for soil moisture are listed as NA on data sheet but entered as 0 on excel sheet
PP17,6,18-06-15,25,22,19,32,0,0,0,0,0,0,30,60,0,0,1,0,0,3,0,0,0,0,0,0,30 = rock; so dry- soil moisture did not work,measurements for soil moisture are listed as NA on data sheet but entered as 0 on excel sheet
SPRY,1,25-06-15,85,48,20,40,15.1,9.9,7.8,8.2,10,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,
SPRY,2,25-06-15,18,28,24,14,8.7,4.9,46.8,22.2,85,0,5,80,5,0,0,0,0,0,0,0,0,0,0,0,,
SPRY,3,25-06-15,5,3,1,2,23.4,9.7,4.8,0,75,0,0,20,5,1,1,0,0,0,0,0,0,0,0,0,large tree in quadrat,measurement for moisture #4 was listed as NA on data sheet but 0 for Excel
SPRY,4,25-06-15,12,8,11,3,25.2,37.1,26.7,0,15,0,35,15,65,0,0,0,0,0,3,0,0,0,0,0,stream + large log in quad,measurement for moisture #4 was listed as NA on data sheet but 0 for Excel
SPRY,5,25-06-15,0,1,0,0,12.2,9.3,18.9,11.4,5,0,5,90,0,1,0,0,0,0,0,0,0,0,0,0,,
SPRY,6,25-06-16,1,0,0,0,2.9,7.1,10.6,0.2,5,0,5,90,5,2,1,0,0,0,0,0,0,0,0,0,,
SUNR,1,08-07-15,4,4,15,6,0,0,0,0,15,0,0,100,0,6,0,0,0,0,1,0,0,0,0,0,compare soil moisture meters,measurements for soil moisture 1-4 are listed as NA on data sheet but entered as 0 on excel sheet
SUNR,2,08-07-15,7,8,2,15,0,0.7,0,0,0,0,0,100,0,2,0,0,0,0,0,0,0,0,0,0,,"measurements for soil moisture 1, 3, & 4 are listed as NA on data sheet but entered as 0 on excel sheet"
SUNR,3,08-07-15,6,5,9,14,5.3,2,0.3,0,2,10,2,100,0,4,1,0,0,0,0,0,0,0,0,0,,measurement for moisture #4 was listed as NA on data sheet but 0 for Excel
SUNR,4,08-07-15,7,3,20,22,0,0,0,0,2,5,0,90,5,4,1,0,0,0,1,0,0,0,0,0,,measurement for moisture # 1-4 was listed as NA on data sheet but 0 for Excel
SUNR,5,08-07-15,10,13,4,7,0.1,1.3,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,2,0,0,,measurement for moisture # 3-4 was listed as NA on data sheet but 0 for Excel
SUNR,6,08-07-15,3,6,4,12,0,0,0,1.1,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,0,,measurements for moisture #1-3 were listed as NA on datasheet but 0 on excel sheet
TA01,1,17-06-15,4,6,9,1,1.1,1.7,1.1,0.8,25,0,80,20,0,0,0,1,0,3,0,0,0,0,0,0,,
TA01,2,17-06-15,3,8,7,5,3.5,0,0,0,20,0,90,10,0,0,0,4,0,0,0,0,0,0,0,0,,"moisture measurements 2-4 listed as NA on data sheet, listed as 0 on excel"
TA01,3,17-06-15,5,6,8,9,0,0,0,0,1,0,50,50,10,0,0,2,0,0,0,0,0,0,0,0,,"moisture measurements 1-4 listed as NA on data sheet but 0 on excel; For PSME, not sure if it's 2 tally marks or 11, but most likely 2 tally marks"
TA01,4,17-06-15,6,8,10,4,0,0,0,0,10,0,95,5,0,0,0,4,0,0,0,0,0,0,0,0,,"moisture measurements 1-4 listed as NA on data sheet, listed as 0 on excel"
TA01,5,17-06-15,3,6,5,6,0,0,0.1,0,25,0,40,60,0,0,0,0,0,0,0,0,0,0,0,0,,"moisture measurements 1,2, & 4 listed as NA on data sheet but 0 on excel"
TA01,6,17-06-15,4,4,5,2,0,0,0,0,10,0,40,70,0,0,0,2,0,1,0,0,0,0,0,0,,moisture measurements 1-4 listed as NA on data sheet but 0 on Excel 
TB13,1,18-06-15,5,4,7,3,1.4,3.3,4,6.9,0,0,100,5,0,0,0,0,0,7,0,0,0,0,0,0,,
TB13,2,18-06-15,5,6,7,4,4.9,0.2,6.1,4.9,0,0,95,5,0,0,0,0,1,10,0,0,0,0,0,0,,
TB13,3,18-06-15,6,3,1,2,7.5,1.4,6.3,5.6,2,0,85,15,0,0,0,0,0,8,0,0,0,0,0,0,,
TB13,4,18-06-15,5,6,11,16,1,6.5,9.4,5.1,10,10,85,15,0,0,0,0,0,9,0,0,0,0,0,0,,
TB13,5,18-06-15,0,1,4,1,4,2.9,0.9,0,5,0,85,15,0,0,0,0,0,2,0,0,0,0,0,0,,"4th measurement for moisture says NA on data sheet, entered in as 0 on excel sheet"
TB13,6,18-06-15,2,2,3,11,6.6,1.6,4.9,3.5,5,0,80,25,0,0,0,0,0,5,0,0,0,0,0,0,,
TO011,1,22-06-15,9,4,4,4,2.5,4.6,10.5,2.6,70,0,75,25,0,0,0,0,0,0,0,0,0,0,0,0,,
TO011,2,22-06-15,10,2,2,9,0.2,3,4.5,3.4,95,0,10,75,0,0,0,0,0,0,0,0,0,0,0,0,,
TO011,3,22-06-15,6,7,3,6,19.4,4.5,3.6,1.3,90,0,25,50,0,0,0,0,0,0,0,0,0,0,0,0,big tree roots come into portion of quad,
TO011,4,22-06-15,4,5,1,2,7.7,12.4,16.3,3.1,65,0,60,30,0,0,0,0,0,0,0,0,0,0,0,0,,
TO011,5,22-06-15,6,8,8,12,4.7,7.3,10.9,2.9,75,35,30,20,0,0,0,0,1,6,0,0,0,0,0,0,,
TO011,6,22-06-15,4,5,18,7,6.5,13.8,3.6,4.3,85,0,85,15,0,0,0,0,0,0,0,0,0,0,0,0,,
TO04,1,17-06-15,5,5,1,4,1.5,3.1,0,0,85,45,35,45,0,0,0,0,1,1,0,0,0,0,0,0,,"3rd & 4th moisture measurement says NA on data sheet, entered as 0 on excel sheet"
TO04,2,17-06-15,6,24,12,4,1.4,0.2,4.3,7.2,60,0,95,10,0,0,0,0,0,3,0,0,0,0,0,0,,
TO04,3,17-06-15,5,4,5,10,4.7,12.5,5.3,3.2,90,65,90,10,0,0,0,1,6,19,0,0,0,0,0,0,,
TO04,4,17-06-15,9,3,9,21,2.6,10.7,14.5,6,85,0,15,95,0,0,0,6,2,8,0,0,0,0,0,0,,
TO04,5,17-06-15,11,3,4,3,4.6,21,4.9,0,8,20,30,60,0,0,0,0,5,9,0,0,0,0,0,0,,
TO04,6,17-06-15,2,1,5,1,6.7,18.2,10,15.7,95,0,10,15,0,0,0,0,0,1,0,0,0,0,0,0,Devil's Club cover high,"4th measurement for moisture says NA on data sheet, entered in as 0 on excel sheet"
