Stand,Quadrat,Date,Light1,Light2,Light3,Light4,% Moisture1,% Moisture2,% Moisture3,% Moisture4,Veg%Cover,Nurselog%Cover,Moss%Cover,Litter%Cover,Bare%Cover,Rock%Cover,Tree%Cover,ABAM,CANO,PSME,THPL,TSHE,TSME,PICO,PIEN,ABLA,ABPR,PIMO,TABR,Field Notes,Lab Notes
TB13,4,20-06-13,10,8,7,10,0.2,0.1,2.8,0.2,5,18,80,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TB13,5,20-06-13,4,8,9,5,0.4,3.9,4.2,2,5,0,75,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TB13,6,20-06-13,7,6,9,7,3.5,4.2,1.9,5.8,5,2,20,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TO011,1,05-07-13,31,21,13,26,1.1,0.3,NA,1.9,80,0,15,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
TO011,2,05-07-13,4,8,15,10,0.1,0.6,1.3,2.2,80,40,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TO011,3,05-07-13,4,8,9,7,4.7,0.2,0.4,0.9,80,0,25,60,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,,
TO011,4,05-07-13,7,19,2,5,0.2,1.2,2.4,2.9,30,50,60,70,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
TO011,5,05-07-13,13,3,7,14,3.1,2.2,1.9,2.5,70,25,50,40,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
TO011,6,05-07-13,7,11,16,29,1.6,0.8,0.2,1.2,90,0,70,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TO04,1,19-06-13,6,4,4,3,0.2,NA,2.1,1,20,45,10,35,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,no second year untagged,
TO04,2,19-06-13,10,7,18,10,0.7,2.9,1.3,2,50,0,70,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,
TO04,3,19-06-13,22,33,15,4,2.9,NA,1.7,3.7,50,80,80,10,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,,
TO04,4,19-06-13,19,40,26,13,3.4,1.2,0.9,1,40,0,15,45,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,
TO04,5,19-06-13,14,18,14,10,4.8,1.9,3,0.4,15,15,10,60,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,plot 5 missing two corers (has one post and one nail in log). We marked with flagging tape and a birf band. Should be remarked. ,
TO04,6,19-06-13,10,7,5,8,6.2,5,3.1,2,90,0,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
TA01,1,26-06-13,5,5,6,6,5.2,2.7,7.7,9,30,0,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Also no new tagged seedlings.,
TA01,2,26-06-13,2,4,2,3,2.5,1,3.5,5,25,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
TA01,3,26-06-13,5,4,3,4,2.4,0.8,3.2,3,1,0,50,50,0,25,0,0,0,0,0,0,0,0,0,0,0,0,,Rock and moss overlap in percent cover.,
TA01,4,26-06-13,4,5,5,4,1.1,1.7,2.3,2.2,10,0,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Cherry + Anna have pics.,
TA01,5,26-06-13,5,5,4,4,3,5.3,1.2,4.1,25,0,30,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,,Large logs over plot.,
TA01,6,26-06-13,5,5,3,4,6.5,2.1,5.9,0.6,5,0,1,85,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,,
PARA,1,05-08-13,6,7,6,5,2,1.4,2.5,0.8,1,0,10,80,10,0,0,0,0,0,0,0,1,0,0,0,0,0,,,
PARA,2,05-08-13,14,14,12,10,1.4,1,0.1,0.6,15,0,5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PARA,3,05-08-13,10,14,8,8,0.5,0.5,NA,0.4,25,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PARA,4,05-08-13,12,20,46,24,3.1,8.2,8.4,7,75,0,15,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,Lots of untagged TSME that are >2yrs old.,
PARA,5,05-08-13,2,22,22,2,3.7,0.5,0.5,5.3,30,10,5,40,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PARA,6,05-08-13,3,6,10,2,2.4,3.4,4.9,1.8,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,,,
