Stand,Quadrat,Date,Light1,Light2,Light3,Light4,% Moisture1,% Moisture2,% Moisture3,% Moisture4,Veg%Cover,Nurselog%Cover,Moss%Cover,Litter%Cover,Bare%Cover,Tree%Cover,Rock%Cover,ABAM,CANO,PSME,THPL,TSHE,TSME,PICO,PIEN,ABLA,ABPR,PIMO,TABR,Field Notes,Lab Notes
AO03,1,06-16-20,22,22,16,9,40.8,37,31.4,44.6,15,0,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Early for germinants,
AO03,2,06-16-20,5,7,8,8,32.2,40.3,56,17,10,70,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,3,06-16-20,9,8,25,14,35.6,33.8,32,25.2,30,0,10,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
AO03,4,06-16-20,15,13,9,10,23.3,43,37.9,62.2,5,90,20,40,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,43.0 and 62.2 soil moisture was in wet log (high readings),
AO03,5,06-16-20,7,10,12,5,33.2,36.4,26,27.3,40,30,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,6,06-16-20,11,14,9,15,22.2,26.7,34.3,26.9,60,0,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moss and litter is on nurse log,
AR07,1,07-07-20,16,17,10,12,12,23.8,9.8,16.6,40,0,10,80,0,25,0,1,23,0,0,0,0,0,0,0,0,0,0,"Cedar germinants difficult to tell apart, could be THPL or CANO but more CANO mature trees at the stand",
AR07,2,07-07-20,8,9,18,8,10.4,17.8,9.6,5,45,0,1,99,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,,
AR07,3,07-07-20,9,11,6,10,19.3,28.2,25.3,10,50,0,40,59,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,
AR07,4,07-07-20,17,16,30,25,38.6,14.8,26.2,28.6,25,0,7,80,5,0,0,0,3,0,0,7,0,0,0,0,0,0,0,,
AR07,5,07-07-20,10,17,31,15,20.8,25.8,12.8,34,30,0,15,85,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,,
AR07,6,07-07-20,5,9,10,7,16.6,13.8,11.6,17.5,25,40,5,58,2,0,0,4,7,0,0,10,0,0,0,0,0,0,0,,
AV02,1,06-16-20,3,8,12,15,34.8,39.5,41.4,31,5,0,15,85,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,,
AV02,2,06-16-20,9,9,4,5,37.6,48.8,66.8,28.7,1,0,2,98,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
AV02,3,06-16-20,6,5,3,4,30.6,21.6,24.4,44.8,0,0,10,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
AV02,4,06-16-20,4,11,10,5,38.3,25.8,53,21.2,1,0,15,83,2,0,30,0,0,0,0,1,0,0,0,0,0,0,0,,
AV02,5,06-16-20,10,4,9,15,30.2,28.4,28.4,30,15,0,20,80,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,,
AV02,6,06-16-20,9,15,10,14,30,29.6,30.4,36.2,5,50,60,20,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,,
AV06,1,06-24-20,16,20,12,12,20.9,24.3,20.4,10.2,25,0,80,3,2,20,0,0,0,0,0,1,0,0,0,0,0,0,0,,
AV06,2,06-24-20,15,10,9,10,11,31.7,22.4,29.6,35,0,40,20,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,,
AV06,3,06-24-20,19,20,21,23,25.6,22.4,29.9,35.9,5,0,70,20,20,0,0,0,0,0,0,19,0,0,0,0,0,0,0,,
AV06,4,06-24-20,10,5,7,14,42.8,24.9,10,NA,10,0,1,99,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,,
AV06,5,06-24-20,16,15,9,14,14.6,17,37.9,18.1,15,0,60,40,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,,
AV06,6,06-24-20,29,16,19,16,49,44.8,43.7,19.1,60,0,70,30,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
AV14,1,08-04-20,31,18,22,17,14.9,29,18.6,16.4,85,0,40,20,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,
AV14,2,08-04-20,7,18,12,5,15.8,36.8,14.2,27,30,50,20,40,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,,
AV14,3,08-04-20,15,16,16,12,23.3,14.8,7.8,25,3,0,2,0,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
AV14,4,08-04-20,9,17,13,19,14.8,11.4,12,9,7,0,1,92,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,,
AV14,5,08-04-20,17,25,27,19,7.8,7.2,19,34.4,3,0,12,85,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,,
AV14,6,08-04-20,13,28,33,24,16.2,17.8,17.4,24,3,40,40,95,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,"Fallen tree, lots of debris",
AX15,1,06-25-20,20,18,20,16,23.4,19.2,31,11.6,15,25,15,75,1,0,0,0,0,0,3,45,0,0,0,0,0,0,0,,
AX15,2,06-25-20,6,7,8,7,10.9,12.8,3.4,6.6,2,0,1,97,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,,
AX15,3,06-25-20,6,5,7,6,7.2,10.2,13.2,11.8,0,3,2,90,5,0,0,0,0,0,0,22,0,0,0,0,0,0,0,,
AX15,4,06-25-20,13,14,8,6,29.4,10,5.2,14,3,0,10,80,7,0,0,0,0,1,1,37,0,0,0,0,0,0,0,,
AX15,5,06-25-20,8,9,9,15,14.1,8.6,7.8,14.8,1,0,5,90,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,,
AX15,6,06-25-20,16,10,17,14,19.4,17.3,23.2,16.6,2,25,2,70,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,,
PARA,1,08-11-20,18,14,9,12,4,10,6.2,10.8,1,0,1,98,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,
PARA,2,08-11-20,15,16,11,17,3.6,4.7,3.2,3.7,30,0,1,90,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,ABAM germinant could be ABLA,
PARA,3,08-11-20,6,7,13,6,11,7.6,4.2,NA,75,0,0,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
PARA,4,08-11-20,16,20,40,11,22.4,16.7,17.8,24.9,85,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PARA,5,08-11-20,4,6,34,16,9.1,10.4,3.4,10.6,30,0,15,55,0,15,0,0,1,0,0,0,11,0,0,0,0,0,0,CANO germinant could be THPL,
PARA,6,08-11-20,7,4,14,14,11.6,15.2,6.8,2.4,15,0,10,75,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,,
PP17,1,06-17-20,16,14,27,8,28.5,27.3,33.9,13.4,0,0,0,97,0,0,3,0,0,4,0,1,0,0,0,0,0,0,0,TSHE germinant could be TSME,
PP17,2,06-17-20,9,10,24,23,25.9,16.5,23.2,12.4,0,0,0,98,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,TSHE germinant could be TSME,
PP17,3,06-17-20,72,51,26,33,51.3,34.8,21.2,21.4,0,0,70,25,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,TSHE germinant could be TSME,
PP17,4,06-17-20,49,36,66,48,23.8,24.1,32.8,22.2,0,0,0,60,0,10,30,0,0,1,0,1,0,0,0,0,0,0,0,TSHE germinant could be TSME,
PP17,5,06-17-20,18,21,22,26,0.2,29.6,20.3,5.6,0,0,0,60,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,,
PP17,6,06-17-20,32,26,28,24,20.8,25.5,26.2,28.8,0,0,15,85,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,,
SPRY,1,08-05-20,29,43,27,66,15,31.7,38.1,15.2,60,0,0,60,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,,
SPRY,2,08-05-20,6,28,35,14,5,7.2,76.9,70.6,90,0,4,35,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
SPRY,3,08-05-20,6,5,9,6,14.8,28.6,9.8,2.8,55,0,3,45,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SPRY,4,08-05-20,15,11,10,9,38.2,67.4,NA,NA,15,0,35,15,5,40,40,0,0,0,0,1,0,0,0,0,0,0,0,,
SPRY,5,08-05-20,3,5,3,3,22,38,20.7,17.8,12,0,4,80,1,2,0,0,14,0,0,0,0,0,0,0,0,0,0,,
SPRY,6,08-05-20,8,9,4,8,35,12.9,27.6,9,15,0,3,75,3,15,0,0,2,0,0,1,0,0,0,0,0,0,0,,
SUNR,1,07-21-20,11,7,6,5,22.6,9.8,8,16.9,35,0,0,75,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,unsure if dried muddy needles counts as litter or bare so made own category,
SUNR,2,07-21-20,7,9,7,6,28.9,22.2,29,25,0,0,0,80,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,,
SUNR,3,07-21-20,11,15,11,3,33.2,35.2,35.2,33.9,1,0,3,57,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,,
SUNR,4,07-21-20,21,13,6,20,37,54.3,32,36.2,4,20,1,30,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,,
SUNR,5,07-21-20,12,6,11,14,34.6,34.2,25.6,26.8,0,0,0,60,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,,
SUNR,6,07-21-20,12,7,5,7,16,25.3,16.4,15.2,0,0,0,40,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,,
TB13,1,06-24-20,18,14,16,14,10.4,9.6,14.1,10.8,0,0,95,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
TB13,2,06-24-20,14,14,22,14,9.2,4.6,18.2,9.3,2,0,93,7,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,,
TB13,3,06-24-20,15,19,12,14,9,13.1,10.4,8.4,2,0,60,38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,
TB13,4,06-24-20,23,21,14,17,9.6,13.5,3.5,16.6,15,15,98,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
TB13,5,06-24-20,20,17,16,20,4,4.6,11.1,5.5,5,0,20,90,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,,
TB13,6,06-24-20,17,14,9,12,11.6,15.3,15.6,5.3,5,0,2,97,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,,
TO011,1,06-26-20,15,5,6,5,14.6,9.4,7,2.1,85,0,15,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
TO011,2,06-26-20,19,12,13,13,2.3,9,12.6,24.2,95,40,10,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TO011,3,06-26-20,9,10,12,12,26.4,35.9,30.8,27.6,70,0,5,70,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TO011,4,06-26-20,20,23,31,15,15.8,27.6,NA,NA,35,60,80,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
TO011,5,06-26-20,12,9,34,19,11.2,13.4,29.4,27.4,70,0,40,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
TO011,6,06-26-20,34,16,11,14,9.5,16.6,14.8,11.3,80,0,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TO04,1,06-23-20,17,12,11,10,34.2,12.7,9.2,10,60,20,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,some of the canopy measurements are 1/4 what they should be,densiometer remeasured 9/8/20
TO04,2,06-23-20,37,22,5,11,29,19.8,17.6,30,20,0,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,seed trap and quadrant under downed log,densiometer remeasured 9/8/20
TO04,3,06-23-20,12,1,3,19,16.8,38,48.4,30.2,30,70,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"entire transect part of a big sloppy gap - lots of litter, downed wood,etc (very hard to count germinants/seedlings, probably not too many because substrate is not solid)",densiometer remeasured 9/8/20
TO04,4,06-23-20,6,17,20,3,20.5,15.5,20.8,22.4,40,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,densiometer remeasured 9/8/20
TO04,5,06-23-20,9,7,7,7,22.9,26.9,9,14.7,10,65,10,10,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,densiometer remeasured 9/8/20
TO04,6,06-23-20,6,14,6,19,14.8,10.6,23.6,9.4,95,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,densiometer remeasured 9/8/20
TA01,1,06-17-20,14,20,15,9,17.9,25.2,25.4,14.6,10,0,97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"At this stand, no germinants in surrounding either, very poor recruitment year",
TA01,2,06-17-20,13,11,17,18,21.6,16,25.8,21.2,10,0,87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TA01,3,06-17-20,22,22,19,13,17.2,15.8,11,15.4,1,0,15,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 Acci germinant,
TA01,4,06-17-20,11,18,18,10,13.3,16,26.5,16.6,15,0,97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TA01,5,06-17-20,25,16,17,19,18.8,17.6,14.4,16.8,22,0,35,5,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TA01,6,06-17-20,10,16,17,12,13.2,17.5,21.5,13.2,8,0,10,80,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
