Stand,Quadrat,Date,Light1,Light2,Light3,Light4,% Moisture1,% Moisture2,% Moisture3,% Moisture4,Veg%Cover,Nurselog%Cover,Moss%Cover,Litter%Cover,Bare%Cover,ABAM,CANO,PSME,THPL,TSHE,TSME,PICO,PIEN,ABLA,ABPR,PIMO,TABR,ABGR,Field Notes,Lab Notes,,,,
AM16,2,7-13-2021,2,12,6,17,11.6,6.6,20.4,6,35,0,15,85,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,
AM16,3,7-13-2021,5,10,5,4,16.6,7.6,1.8,9.6,80,15,5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AM16,4,7-13-2021,1,18,12,8,40,35,60.5,22.8,100,0,3,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,the CANO may have been a THPL,,,,,
AM16,5,7-13-2021,4,2,5,6,66.9,69,70,80,80,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AM16,6,7-13-2021,1,3,3,4,42.4,13.8,4.2,3.8,60,10,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"there were many ""too dry"" spots in the soil, possibly due to air pockets and roots. was hard to get an accurate soil moisture reading",,,,,
AO03,1,"6/15, 6/29/21",17,3,11,10,34.4,37,34.3,43.2,40,0,30,70,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AO03,2,"6/15, 6/29/22",6,5,7,2,34.1,39.2,46.1,19.7,10,60,50,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AO03,3,"6/15, 6/29/23",6,3,23,5,23.2,22.4,21.8,22.4,60,1,1,98,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Abgr: not completely sure about species, but most likely an Abies generally (though it was on the small side, perhaps because it was deeper and ""ran out of juice"" on the way out of the soil?). 4 cotyledons, but more blue-green than a TSHE, and pointed tips rather than blunted. 2 stomatal stripes on top. Not really a bud in the center of the cotyledons. ",,,,,
AO03,4,"6/15, 6/29/24",13,1,6,4,22.6,27.8,28.9,24.3,5,95,25,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,
AO03,5,"6/15, 6/29/25",7,4,2,4,29.1,23.1,28.8,34.2,35,15,55,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AO03,6,"6/15, 6/29/26",6,5,1,9,29.4,26.6,27.8,25.2,55,2,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,,,,,
AV06,1,8,2,4,20,20,16.6,15.6,22,18.4,5,25,15,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nurse log in percent cover section hadn't really started decomposing yet. ABAM germinant still had its seed coat on the cotyledon tops - it's still a bit early,,,,,
AV06,2,13,12,9,9,9,28.8,11,29.2,18.1,15,0,35,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,,,,,
AV06,3,10,8,10,7,7,11.7,25.8,27.2,30.6,1,0,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AV06,4,6,5,9,3,3,23.5,30.4,25.6,17.8,6,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quad covered in bigger chunks of doug-fir bark ,,,,,
AV06,5,10,11,4,5,5,22.8,25,19.3,15,20,0,25,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AV06,6,21,3,11,16,16,36.4,23.6,22.3,11.4,60,0,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
PARA,1,29-07-21,4,9,2,8,8.5,10.4,3,9.7,1,0,0.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Overall: litter is really compacted and seems like the snow may have just melted out not long ago - maybe it's too early for germinants and we should come back later,,,,,
PARA,2,29-07-21,16,14,9,12,15.2,4,13,9.2,7,0,0.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
PARA,3,29-07-21,3,5,10,9,6.8,9.4,7.2,10.9,12,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
PARA,4,29-07-21,15,40,30,10,39.4,37.6,31.2,28.8,50,0,4,96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Went back and redid germinant census on 8/18/21, it was only then that we found this CANO germinant at Q4",,,,,
PARA,5,29-07-21,13,10,3,1,22.3,19.4,18.3,18.8,10,10,3,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
PARA,6,29-07-21,2,10,7,4,14.8,20.2,12.2,13.8,4,0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SUNR,1,03-08-21,7,5,16,9,9.4,3,4.4,0.6,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"We found a few germinants outside of the quads too, but overall the soil/litter looks quite compacted. Snow may have melted pretty recently",,,,,
SUNR,2,03-08-21,8,5,6,8,6.3,2,3,9,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SUNR,3,03-08-21,16,12,13,5,26,12.2,6,12,0.1,5,2,93,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SUNR,4,03-08-21,14,22,9,3,8.8,6.4,9.6,8,2,2,0.1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SUNR,5,03-08-21,4,9,15,9,0.6,3.7,12.6,11.5,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SUNR,6,03-08-21,3,7,2,10,16.7,2.8,8.6,8.4,0,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,
TO04,1,21-06-21,9,5,6,3,31.2,16.6,9.2,11.8,50,40,10,50,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,,,
TO04,2,21-06-21,23,6,5,34,16.2,11.1,16.8,33.6,25,0,30,70,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,,,
TO04,3,21-06-21,3,4,7,2,12.9,8.8,14.8,23.2,50,60,70,30,0,0,0,0,3,9,0,0,0,0,0,0,0,0,,,,,,
TO04,4,21-06-21,6,14,2,2,31.4,16.2,11.6,13.6,30,0,5,95,0,0,0,0,1,2,0,0,0,0,0,0,0,0,"tons of overlapping sticks and moss on litter. In general, moss on nurse logs was double-counted (that area has both nurse log AND moss percent covers) so totals might come to over 100%",,,,,
TO04,5,21-06-21,4,12,3,3,18.9,37.4,23.2,44.5,25,0,20,80,0,0,0,0,2,2,0,0,0,0,0,0,0,0,,,,,,
TO04,6,21-06-21,6,3,4,4,19,16,32.4,15.2,85,10,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
TA01,1,15-06-21,4,8,10,6,14.3,26.4,25,13.9,25,0,90,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,,,
TA01,2,15-06-21,11,13,14,8,19.2,16.6,17.5,20.6,25,0,95,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,
TA01,3,15-06-21,11,9,7,8,11,10.3,30,7.6,1,0,60,25,0,0,0,0,0,7,0,0,0,0,0,0,0,0,rock ns (for percent cover),<-- not sure what this means; it was also hard to read and know if this was what it said,,,,
TA01,4,15-06-21,10,10,8,7,18.3,16,12.8,10.8,15,0.5,9.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
TA01,5,15-06-21,3,5,8,3,22.2,24.8,32.1,26,15,40,15,35,0,0,0,0,0,9,0,0,0,0,0,0,0,0,lots of bark (for percent cover),,,,,
TA01,6,15-06-21,5,4,4,3,18.9,16.4,12.6,18.3,7,5,10,85,0,0,0,0,0,4,0,0,0,0,0,0,1,0,Not 100% sure that it was a Tabr,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
