Stand,Quadrat,Date collected,Light 1 (densiometer),Light 2,Light 3,Light 4,% Moisture 1,% Moisture 2,% Moisture 3,% Moisture 4,Nurselog % cover,Moss % cover,Litter % cover,Bare % cover,Vegetation % cover (in addition to the previous 4 which tally up to 100%),other % cover,ABAM,CANO,PSME,THPL,TSHE,TSME,ACCI,PICO,PIEN,ABLA,ABPR,PIMO,TABR,ABGR,Abies sp.,Field Notes,
TA01,11,14-06-22,9,14,14,8,33,33,23.5,27,0,10,90,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TA01,12,14-06-22,11,9,10,11,32.6,32.4,25.5,29.3,0,90,10,0,35,0,0,0,21,0,2,0,0,0,0,0,0,0,0,0,0,,
TA01,13,14-06-22,8,14,11,2,20,18.2,30.1,31.8,0,85,15,0,35,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,,
TA01,14,14-06-22,13,16,17,10,21.4,30.2,39.3,46.2,0,30,70,0,75,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,
TA01,15,14-06-22,5,7,16,4,19.5,57.6,26.5,28.5,0,10,90,0,20,0,0,0,13,1,7,0,0,0,0,0,0,0,0,0,0,,
AO03,1,15-06-22,25,5,10,11,32.6,38.4,31.8,36.6,0,80,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"snow melted recently, should come back to seedling census",
AO03,2,15-06-22,11,12,7,12,32.6,25.3,26.6,17.2,75,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,3,15-06-22,13,4,10,8,25.8,26.3,20.2,12,0,0,100,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,4,15-06-22,1,17,5,0,26,31.7,34.5,N/A,95,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
AO03,5,15-06-22,5,3,4,5,22.7,40.6,23.5,31,0,5,95,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,6,15-06-22,8,7,9,9,26.6,30.2,28,25.4,0,1,99,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,7,15-06-22,16,13,15,13,26.6,35.8,21.4,24.1,0,10,90,0,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,8,15-06-22,7,14,13,8,28.4,12,19.4,43.8,0,5,95,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,9,15-06-22,17,18,23,23,22.8,17.1,33.7,16.9,0,25,70,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,10,15-06-22,8,11,6,6,22.6,26.1,20.9,27.6,0,0,100,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,11,15-06-22,4,11,21,4,32.4,25.5,11.9,22.4,0,0,100,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,12,15-06-22,14,5,19,8,27.2,26.5,29.9,26.2,60,0,40,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"forgot to get % cover data, put onto Week 3 to-do list ",
AO03,13,15-06-22,10,7,9,5,20.2,20,14.8,29.2,0,5,95,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,14,15-06-22,10,14,0,20,28.8,31.2,25.4,23.6,50,5,45,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,15,15-06-22,16,20,15,11,50.9,24.6,20.6,55.5,80,3,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AB08,1,16-06-22,8,3,15,7,25,30.6,36.3,26.2,0,60,40,0,40,0,1,0,5,14,24,0,0,0,0,0,0,0,0,0,0,,
AB08,2,16-06-22,14,23,7,10,35.4,24,36.3,31.2,50,30,20,0,70,0,1,0,1,7,10,0,0,0,0,0,0,0,0,0,0,,
AB08,3,16-06-22,32,19,15,19,20.9,37.2,32.4,21.4,0,80,20,0,15,0,1,0,9,21,30,0,0,0,0,0,0,0,0,0,0,,
AB08,4,16-06-22,26,20,13,22,30.8,25.8,48.8,47,60,20,20,0,65,0,0,0,5,21,6,0,0,0,0,0,0,0,0,0,0,,
AB08,5,16-06-22,19,25,38,17,28.4,22,25.2,29,0,85,15,0,2,0,1,0,2,22,21,0,0,0,0,0,0,0,0,0,0,,
AB08,6,16-06-22,31,9,7,14,30.5,20.2,25.8,15,0,70,30,0,15,0,4,0,0,18,11,0,0,0,0,0,0,0,0,0,0,,
AB08,7,16-06-22,22,13,27,33,25,42.6,16,18.8,0,10,90,0,0,90,1,0,3,8,4,0,0,0,0,0,0,0,0,0,0,,
AB08,8,16-06-22,9,10,18,27,22.4,45.2,45.1,47.2,0,90,10,0,5,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,,
AB08,9,16-06-22,12,8,9,7,38.3,24,22.4,23.6,0,40,60,0,15,0,5,0,3,21,2,0,0,0,0,0,0,0,0,0,0,"forgot to get % cover data, put onto Week 3 to-do list ",
AB08,10,16-06-22,20,13,16,16,17.4,29.8,33,32.2,0,80,20,0,25,0,3,0,1,11,6,0,0,0,0,0,0,0,0,0,0,,
AB08,11,16-06-22,19,27,18,36,32.6,28.1,16.9,31.4,0,50,50,0,75,0,4,0,1,11,5,0,0,0,0,0,0,0,0,0,0,,
AB08,12,16-06-22,8,7,10,5,34.3,39.5,19.4,18.3,20,10,70,0,1,0,3,0,1,5,2,0,0,0,0,0,0,0,0,0,0,,
AB08,13,16-06-22,15,18,16,9,40.6,41.2,30.4,40,0,70,30,0,1,0,1,0,2,5,4,0,0,0,0,0,0,0,0,0,0,,
AB08,14,16-06-22,6,6,8,13,36.8,27.5,25.4,16.3,0,80,20,0,2,40,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,"other % cover = log hanging over the quadrat but not touching the ground, shading ",
AB08,15,16-06-22,13,23,19,14,32,32.1,25.2,24.6,0,20,80,0,3,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,,
AG05,1,6-21-2022,6,2,3,6,33.2,40.2,56,28,30,35,35,0,0,0,0,0,3,147,22,0,0,0,0,0,0,0,0,0,0,,
AG05,2,6-21-2022,9,10,6,8,37.2,33.6,32.6,29.2,20,20,60,0,0,0,0,0,3,41,7,0,0,0,0,0,0,0,0,0,0,TOMST needs sun shield,
AG05,3,6-21-2022,13,12,13,7,14.4,29.2,32.6,N/A,0,15,25,0,30,60,0,0,1,121,13,0,0,0,0,0,0,0,0,0,0,,
AG05,4,6-21-2022,4,7,13,6,29.2,18.6,19,30.4,0,90,10,0,5,0,0,0,1,24,4,0,0,0,0,0,0,0,0,0,0,,
AG05,5,6-21-2022,15,12,7,N/A,13.4,26.6,12.3,23.6,50,5,45,0,3,0,0,0,3,46,9,0,0,0,0,0,0,0,0,0,0,,
AG05,6,6-21-2022,7,6,14,7,24.4,18.1,25.1,25.4,0,5,95,0,15,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,,
AG05,7,6-21-2022,16,12,17,14,25.6,19,18.2,18.8,0,5,95,0,70,0,0,0,10,61,5,0,0,0,0,0,0,0,0,0,0,,
AG05,8,6-21-2022,1,7,13,9,13.6,29.5,18.2,33.3,20,20,60,0,1,0,0,0,4,17,4,0,0,0,0,0,0,0,0,0,0,,
AG05,9,6-21-2022,4,9,13,12,25.1,24,30.2,26.8,0,60,40,0,70,0,1,0,1,6,3,0,0,0,0,0,1,0,0,0,0,,
AG05,10,6-21-2022,1,7,7,1,26.8,37.4,33.9,27.9,0,15,85,0,20,0,0,0,4,17,16,0,0,0,0,0,0,0,0,0,0,,
AG05,11,6-21-2022,3,1,0,1,16.5,25,31.6,18,50,30,20,0,0,0,0,0,2,64,16,0,0,0,0,0,0,0,0,0,0,,
AG05,12,6-21-2022,6,17,19,9,28.4,16.4,19.4,13.5,25,15,60,0,15,0,0,0,12,52,12,0,0,0,0,0,0,0,0,0,0,,
AG05,13,6-21-2022,6,2,5,5,18.4,29,22,14,0,30,70,0,1,0,0,0,0,21,6,0,0,0,0,0,0,0,0,0,0,,
AG05,14,6-21-2022,3,5,14,12,16,20,27.8,26.4,40,1,59,0,75,0,0,0,10,41,10,0,0,0,0,0,0,0,1,0,0,,
AG05,15,6-21-2022,3,5,8,4,20.6,16.8,23.8,18.5,5,2,83,0,0,10,0,0,2,57,4,0,0,0,0,0,0,0,0,0,0,Bring a nail to make fourth post,
TO04,1,6-20-2022,7,5,8,7,31.3,23.6,27.4,17.2,20,30,60,1,40,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,,
TO04,2,6-20-2022,40,30,17,22,27.2,30.2,35.6,26.4,0,40,60,1,55,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,,
TO04,3,6-20-2022,19,12,7,20,25.2,30.8,24.2,22.8,70,15,15,0,40,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,,
TO04,4,6-20-2022,9,12,5,5,28.2,30.2,17.6,20.6,0,50,50,0,50,40,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,,
TO04,5,6-20-2022,5,7,8,5,41.8,18,18.4,35.5,0,30,70,0,20,0,0,0,0,32,4,0,0,0,0,0,0,0,0,0,0,A lot of fallen branches,
TO04,6,6-20-2022,5,5,7,N/A,29.4,8.6,38.4,24.2,0,40,30,30,20,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,"Lots (~50%) of fallen trees, difficult to census forest floor because fallen small tree",
TO04,7,6-20-2022,12,15,5,6,30.6,18.2,31.2,45.6,20,15,70,0,5,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,,
TO04,8,6-20-2022,20,9,23,9,18.2,28.9,23.1,20.6,60,30,10,0,25,0,1,0,1,13,9,0,0,0,0,0,0,0,0,0,0,,
TO04,9,6-20-2022,15,31,20,10,46.1,25.6,72.5,14.2,0,5,95,0,90,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,
TO04,10,6-20-2022,20,11,4,8,50.8,48.2,35.6,23.8,0,85,15,0,10,0,0,0,3,16,10,0,0,0,0,0,0,0,0,0,0,,
TO04,11,6-20-2022,13,4,14,21,20,20.1,29,21,0,30,70,0,40,0,0,0,1,22,9,0,0,0,0,0,0,0,0,0,0,,
TO04,12,6-20-2022,11,5,12,18,8.8,10.2,12.8,31,0,75,25,0,75,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,,
TO04,13,6-20-2022,13,4,4,10,17,24.8,14.4,17.5,0,75,25,0,15,0,0,0,0,26,12,0,0,0,0,0,0,0,0,1,0,,
TO04,14,6-20-2022,8,12,3,2,12,16,7.6,9.2,0,90,10,0,15,0,0,0,0,24,13,0,0,0,0,0,0,0,0,0,0,,
TO04,15,6-20-2022,10,12,4,21,15.9,12.2,22.2,6.7,0,50,50,0,90,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,
TA01,1,6-27-2022,20,11,19,12,26.6,24.9,9.2,3.8,0,80,20,0,25,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,,
TA01,2,6-27-2022,11,20,16,15,9,11,7.8,9.8,0,95,5,0,25,0,0,0,24,1,5,0,0,0,0,0,0,0,0,0,0,,
TA01,3,6-27-2022,13,10,13,6,11.6,10,8.4,8.2,15,15,45,25,0.1,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,,
TA01,4,6-27-2022,16,13,21,16,12.9,19.1,1.3,13.7,0,95,5,0,20,0,0,0,14,1,3,0,0,0,0,0,0,0,0,1,0,,
TA01,5,6-27-2022,17,5,14,12,15,15.8,10.6,16,30,45,25,0,30,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,
TA01,6,6-27-2022,12,11,17,14,4,11.6,2.4,10.9,5,15,85,0,10,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,,
TA01,7,6-27-2022,5,6,7,11,17.6,19.6,15.4,14.8,0,80,20,0,3,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,,
TA01,8,6-27-2022,18,19,9,8,4.2,16.8,6.6,4.2,0,95,5,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
TA01,9,6-27-2022,8,10,13,6,9,12.8,8.1,31.4,40,45,15,0,20,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,,
TA01,10,6-27-2022,6,12,10,7,17.9,16.9,15,13.7,35,35,30,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,,
TA01,11,6-27-2022,9,14,14,8,13.2,16,18.6,17.4,0,10,90,0,45,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,,
TA01,12,6-27-2022,11,9,10,11,13.9,15.7,27.4,13.5,0,90,10,0,35,0,0,0,12,2,3,0,0,0,0,0,0,0,1,0,0,,
TA01,13,6-27-2022,8,14,11,2,8.7,10.2,19.2,19.6,0,85,15,0,35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,
TA01,14,6-27-2022,13,16,17,10,21.9,14.8,8.8,25.2,0,30,70,0,75,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,
TA01,15,6-27-2022,5,7,16,4,37.2,8.6,9.8,13.2,0,10,90,0,20,0,0,0,15,3,7,0,0,0,0,0,0,0,0,0,0,,
AO03,1,6-28-2022,25,5,10,11,21.6,14,16.2,19.8,0,80,20,0,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
AO03,2,6-28-2022,11,12,7,12,13.2,15.8,11.6,8.6,75,0,25,0,3,0,2,0,0,8,3,0,0,0,0,0,1,0,0,0,0,,
AO03,3,6-28-2022,13,4,10,8,18.4,13.6,9.7,12.9,0,0,100,0,15,0,2,0,0,21,6,0,0,0,0,0,1,0,0,0,0,,
AO03,4,6-28-2022,1,17,5,0,12.2,8.6,41,20.4,95,0,0,5,1,0,0,0,1,146,66,0,0,0,0,0,0,0,0,0,0,,
AO03,5,6-28-2022,5,3,4,5,10.8,16,21.1,12.8,0,5,95,0,15,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,,
AO03,6,6-28-2022,8,7,9,9,16.4,19.1,11,16.8,0,1,99,0,35,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,,
AO03,7,6-28-2022,16,13,15,13,32.2,20.1,16.5,18,0,10,90,0,50,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,,
AO03,8,6-28-2022,7,14,13,8,20.6,6.8,16.2,12.9,0,5,95,2,10,0,0,0,0,4,1,0,1,0,0,0,2,0,0,0,0,writing still partially over HOBO sensor,
AO03,9,6-28-2022,17,18,23,23,11.4,13.8,29.6,7.4,0,25,70,5,40,0,1,0,2,46,14,0,0,0,0,0,1,0,0,0,0,elk footprints in plot,
AO03,10,6-28-2022,8,11,6,6,10.6,6,19.4,24.8,0,0,100,0,10,0,3,0,1,29,6,0,0,0,0,0,0,0,0,0,0,,
AO03,11,6-28-2022,4,11,21,4,19,20,20,15.8,0,0,100,0,10,0,1,0,0,55,9,0,0,0,0,0,0,0,0,0,0,,
AO03,12,6-28-2022,14,5,19,8,14.8,13.8,16.3,24.7,60,0,40,0,30,0,1,0,1,4,7,0,0,0,0,0,0,0,0,0,0,,
AO03,13,6-28-2022,10,7,9,5,21.2,24.2,17.2,9.4,0,5,95,0,5,0,4,0,0,31,9,0,0,0,0,0,0,0,0,0,0,,
AO03,14,6-28-2022,10,14,0,20,23,9.6,15.6,15.8,50,5,45,0,50,0,3,0,0,7,1,0,0,0,0,0,0,0,0,0,0,,
AO03,15,6-28-2022,16,20,15,11,15.7,23.4,35.6,12.9,80,3,17,0,1,0,2,0,1,28,39,0,0,0,0,0,0,0,0,0,0,,
AV06,1,6-29-2022,11,1,17,16,22,4,7.7,12.7,30,50,20,0,20,0,2,0,4,0,8,0,0,0,0,0,0,0,0,0,0,,
AV06,2,6-29-2022,19,13,14,8,24.2,9,23,23.2,0,60,40,0,35,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,,
AV06,3,6-29-2022,7,9,16,11,8.9,23.7,15,15.2,0,40,60,0,2,0,2,0,2,1,4,0,0,0,0,0,0,0,0,0,0,,
AV06,4,6-29-2022,7,15,8,4,--,13.9,20,--,60,1,39,0,5,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,1,bark has recently fallen all over the plot,
AV06,5,6-29-2022,12,14,4,9,24.4,5.2,19.2,18.8,0,25,75,0,10,0,1,0,5,1,7,0,0,0,0,0,0,0,0,0,0,,
AV06,6,6-29-2022,33,13,14,--,23.8,37.4,19.1,20.7,0,90,10,0,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
AV06,7,6-29-2022,13,18,23,11,14.5,27.9,12,14.8,0,90,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
AV06,8,6-29-2022,30,5,8,17,8.8,25.6,22,24.6,0,30,70,0,30,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,,
AV06,9,6-29-2022,6,19,27,5,27.9,13,14.8,19.6,0,25,75,0,10,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,
AV06,10,6-29-2022,14,13,13,16,10.8,28,36,17.7,0,30,70,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
AV06,11,6-29-2022,15,22,17,11,21.2,29.5,10.5,10.1,20,40,40,0,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
AV06,12,6-29-2022,6,1,9,9,10.8,8.6,18.6,20.4,20,20,60,0,50,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,
AV06,13,6-29-2022,14,13,9,8,15.8,19.4,23.5,30.6,0,95,5,0,10,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,,
AV06,14,6-29-2022,12,16,10,5,17.7,28.7,26.4,11.2,0,5,95,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
AV06,15,6-29-2022,31,25,14,30,23.7,20.3,21.6,7.6,0,10,90,0,50,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,,
AE10,1,7-11-2022,30,6,3,4,27.2,29.4,14.2,21,10,1,89,0,80,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,young tree shading,
AE10,2,7-11-2022,22,5,2,20,18.9,33.8,34,23.6,0,0,100,0,50,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,,
AE10,3,7-11-2022,9,6,12,5,11.8,23.9,23.7,18.4,0,5,95,0,20,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,,
AE10,4,7-11-2022,11,12,10,9,12.8,15,23.2,16.6,0,3,94,3,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,,
AE10,5,7-11-2022,11,9,9,--,8,19.2,18.6,15.6,0,0,60,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"other 40% = tree roots, veg overlapped with densiometer on side 4",
AE10,6,7-11-2022,13,16,8,12,16.8,12.5,17.3,14.4,0,3,87,10,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,,
AE10,7,7-13-2022,14,14,11,15,29.5,27.8,26.8,46.2,0,0,100,0,20,25%,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,,
AE10,8,7-13-2022,6,18,28,21,24.2,43,41.2,37.2,0,0,100,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AE10,9,7-13-2022,10,16,18,10,14.8,30,18.4,14.4,0,3,97,0,35,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AE10,10,7-13-2022,4,3,20,8,11.8,6.5,22.8,13.2,0,0,99,1,20,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AE10,11,7-13-2022,14,11,4,6,25,16.4,24.9,32.8,5,3,91,1,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,
AE10,12,7-13-2022,14,4,5,7,26.9,22.8,15.7,26,0,3,97,0,15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,,
AE10,13,7-13-2022,9,13,10,9,30.8,18.2,9.4,11.7,35,0,65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,
AE10,14,7-13-2022,17,--,13,3,30.4,27.9,33.2,23.1,0,2,95,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
AE10,15,7-13-2022,10,10,13,14,22.6,12,5.2,8.4,30,2,68,0,20,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,2,,
AM16,1,7-12-2022,12,25,50,22,25.8,12.3,31.2,17.6,0,20,80,0,50,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AM16,2,7-12-2022,15,34,16,18,24,28.3,27.2,17.6,0,25,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AM16,3,7-12-2022,36,19,38,15,24,9.2,15.4,15.6,0,10,90,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AM16,4,7-12-2022,6,8,11,15,33.2,55.2,31.6,39.1,0,0,100,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AM16,5,7-12-2022,2,3,5,3,76.2,TW,TW,70.2,0,90,10,0,75,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,TW = too wet,
AM16,6,7-12-2022,3,11,7,6,37.5,12.3,8,10.3,10,3,87,0,75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,
AM16,7,7-12-2022,2,2,4,2,14.2,5.8,5.9,9.5,0,0,100,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AM16,8,7-12-2022,3,0,9,2,21.2,7.9,29.2,25.8,0,1,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AM16,9,7-12-2022,8,--,5,6,6.4,16,17.5,10.8,0,50,50,0,90,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,,
AM16,10,7-12-2022,35,35,--,23,TW,TW,TW,TW,0,30,0,0,100,"70% tiny groundcover veg species (boggy plot), in addition to the overhead veg that was at 100% ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AM16,11,7-12-2022,6,12,20,--,19.2,18,29.6,28.4,0,0,100,0,95,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AM16,12,7-12-2022,10,15,9,18,24.8,26.8,26.8,15.4,10,trace,90,0,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
AM16,13,7-12-2022,2,2,9,--,16.4,21.8,16.6,17.2,0,0,100,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
AM16,14,7-12-2022,75,40,19,3,TW,TW,TW,TW,15,0,85,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AM16,15,7-12-2022,13,7,6,5,72.2,TW,TW,72.2,0,10,90,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SUNR,1,8-3-2022,3,6,16,5,5.8,6.8,TD,7.2,0,0,100,0,25,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,3,,
SUNR,2,8-3-2022,2,5,3,2,7,10.6,4.2,8.4,0,0,100,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,
SUNR,3,8-3-2022,6,8,6,2,14.2,6.2,28.5,33,15,0,85,0,5,0,9,1,0,0,0,0,0,0,0,3,0,0,0,0,0,,
SUNR,4,8-3-2022,1,2,18,11,15.2,19.8,15.3,11.6,0,0,100,0,0,0,16,0,0,0,0,0,0,0,0,10,0,0,0,0,36,,
SUNR,5,8-3-2022,6,6,3,2,20.1,17.8,8.7,11.5,0,0,100,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,1,,
SUNR,6,8-3-2022,1,0,0,0,3.4,TD,1.8,TD,0,0,100,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,
PARA,1,7-28-2022,5,8,7,2,12.2,15.8,12.6,19.2,0,0,95,5,0,0,11,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,
PARA,2,7-28-2022,15,14,18,12,10.1,10.1,19.8,6.5,0,1,97,2,10,0,11,0,0,0,0,1,0,0,0,9,0,0,0,0,5,"had a large branchy sapling covering entire plot, had to move in order to access hobo and perform any censusing",
PARA,3,7-28-2022,10,5,10,5,17.6,7.3,3,TD,0,0,100,0,50,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,,
PARA,4,7-28-2022,15,39,13,11,43.2,37.6,39.7,33.8,0,0,100,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
PARA,5,7-28-2022,20,10,5,3,28.6,42.4,16.5,22.1,10,0,85,5,40,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PARA,6,7-28-2022,2,2,1,4,18.2,16.5,13.2,12.1,5,5,90,0,15,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
