Stand,Quadrat,Date,Light1,Light2,Light3,Light4,% Moisture1,% Moisture2,% Moisture3,% Moisture4,Veg%Cover,Nurselog%Cover,Moss%Cover,Litter%Cover,Bare%Cover,ABAM,CANO,PSME,THPL,TSHE,TSME,PICO,PIEN,ABLA,ABPR,PIMO,Field Notes,Lab Notes
AG05,2,14-06-16,33,12,10,11,15.3,13.3,12.4,33.6,0,45,40,80,0,0,0,0,0,0,0,0,0,0,0,0,,
AG05,3,14-06-16,26,10,3,15,12.9,14,15.8,15,20,10,15,90,0,1,0,0,0,2,0,0,0,0,0,0,vegetation cover is under log; live tree,
AG05,4,14-06-16,13,10,18,18,25.4,22.9,34,23.5,5,10,90,50,0,0,0,1,0,2,0,0,0,0,0,0,Quad 4 destroyed; quad 4 relocated,
AG05,5,14-06-16,13,17,18,19,3.1,28,25.7,22.4,4,0,5,95,0,0,0,0,0,2,0,0,0,0,0,0,TABR = 1 ; 45% log ; litter = 95% ; Quad 5 possibly relocate (see picture),
AG05,6,14-06-16,12,25,12,19,28.1,19.6,11,11.2,20,0,10,100,0,0,0,1,0,0,0,0,0,0,0,0,,
AM16,1,27-06-16,19,20,12,35,12.3,17,19.8,17.4,70,5,45,55,0,0,7,0,0,4,0,0,0,0,0,0,thin logs = 25%,
AM16,2,27-06-16,13,14,19,24,15.4,8.3,14,18.7,60,0,60,40,0,0,2,0,0,1,0,0,0,0,0,0,,
AM16,3,27-06-16,9,16,12,14,24.1,20.1,18.3,11.9,90,20,25,70,0,0,0,0,0,0,0,0,0,0,0,0,,
AM16,4,27-06-16,15,11,24,20,51.6,23.2,39.7,38.8,99,0,7,95,0,0,8,0,0,1,0,0,0,0,0,0,,
AM16,5,27-06-16,5,7,9,6,54,53.4,54.8,51.8,90,0,85,15,0,0,6,0,0,2,0,0,0,0,0,0,PVC pipe leaning in,
AM16,6,27-06-16,10,10,6,9,34.4,22.6,38,10.6,75,0,3,97,0,0,0,0,0,2,1,0,0,0,0,0,fallen log = ~20%,
AO03,1,15-06-16,17,10,11,14,19.2,23.2,17.8,26.2,90,0,70,30,0,0,0,0,0,2,0,0,0,0,0,0,Acer = 1 ; 1st time,
AO03,2,15-06-16,6,11,8,9,14.9,23,36.2,2.7,10,55,5,40,0,0,0,0,4,1,0,0,0,0,0,0,,
AO03,3,15-06-16,8,10,5,7,24.9,20.5,13.4,5.1,99,0,7,90,0,0,0,0,4,5,0,0,0,0,0,0,moisture 4 measured under bark,
AO03,4,15-06-16,13,9,9,7,10.8,4.9,35.7,23.2,20,98,0,2,0,0,0,0,7,6,0,0,0,0,0,0, ,
AO03,5,15-06-16,7,13,12,6,19.5,23.7,17.8,20,80,25,5,75,0,0,0,1,0,0,0,0,0,0,0,0,,
AO03,6,15-06-16,10,6,10,7,18.9,24.6,24.5,27.1,80,20,5,80,0,0,0,0,0,0,0,0,0,0,0,0,,
AR07,1,29-06-16,7,10,5,10,16,20.8,14.5,15.3,60,50,0,50,0,0,2,0,0,0,0,0,0,0,0,0,,
AR07,2,29-06-16,10,9,2,3,9.3,21.2,12.5,16.8,40,0,0,90,0,0,1,0,0,0,0,0,0,0,0,0,thin log = 15%,
AR07,3,29-06-16,17,15,5,11,15.7,11.1,14.1,12.3,60,0,7,90,0,0,0,0,0,0,0,0,0,0,0,0,,
AR07,4,29-06-16,22,37,32,34,24.7,17.4,28.7,15,NA,NA,NA,NA,NA,3,8,0,0,0,0,0,0,0,0,0,*accidentally missed % cover,
AR07,5,29-06-16,6,14,14,13,13.5,18.3,24,19,50,0,2,90,0,4,0,0,0,0,0,0,0,0,0,0,thin log = 12%,
AR07,6,29-06-16,9,6,14,12,23,19.2,10.6,11.9,50,45,1,55,0,0,1,0,0,0,0,0,0,0,0,0,has 2 bent PVC pipes - needs another 2 in future,
AV02,1,15-06-16,2,2,1,6,21.7,17.9,19.5,40.8,10,15,1,75,0,0,0,0,1,3,0,0,0,0,0,0,,
AV02,2,15-06-16,7,9,15,19,16.1,17.4,20.2,16.8,1,0,2,97,0,0,0,0,0,6,0,0,0,0,0,0,,
AV02,3,15-06-16,16,6,11,16,9.9,6.3,24,11.8,0,1,3,96,0,0,0,0,0,9,0,0,0,0,0,0,rock = 1,
AV02,4,15-06-16,6,5,7,6,17,14.1,3,4.5,1,0,30,70,0,0,0,0,0,2,0,0,0,0,0,0,tree = 2 (trunks) ; rock = 20% (moss cover),
AV02,5,15-06-16,9,10,16,10,12.9,8.5,14.6,15.7,15,0,65,40,0,0,0,1,0,2,0,0,0,0,0,0,,
AV02,6,15-06-16,10,8,3,4,15.8,11.6,10.5,36.2,2,50,30,15,0,0,0,0,1,14,0,0,0,0,0,0,quad 6 needs a new marker - screw + flagging best option -> big tree fell and obliterated part of plot (fell on rotted nurse log),
AV06,1,27-06-16,5,6,8,7,15,15.5,18.2,33.2,25,45,55,25,0,0,0,1,0,7,0,0,0,0,0,0,,
AV06,2,27-06-16,7,3,6,5,19,23.5,20.4,20,60,0,90,10,0,0,0,1,0,4,0,0,0,0,0,0,Moved SM to be inserted in corner of quadrat because it was hitting other seedlings,
AV06,3,27-06-16,7,4,6,8,15.4,18.2,20.8,13.9,2,0,50,50,0,0,0,0,0,10,0,0,0,0,0,0,,
AV06,4,27-06-16,7,8,5,9,25.3,20.4,13.8,12.2,50,0,10,80,0,0,0,1,0,4,0,0,0,0,0,0,pieces of log = 50%,
AV06,5,27-06-16,8,7,7,10,8.4,7.8,20,18,30,0,85,15,0,0,0,1,0,0,0,0,0,0,0,0,,
AV06,6,27-06-16,13,7,6,7,15.3,21.4,18.7,18.3,80,0,80,10,0,0,0,0,0,0,0,0,0,0,0,0,,
AV14,1,06-07-16,11,9,20,11,19,22.5,16.3,23.3,75,0,40,60,0,1,0,0,0,21,0,0,0,0,0,0,part of fallen tree (~10%),
AV14,2,06-07-16,5,9,22,4,4.5,18.5,17.9,10,45,5,80,20,0,0,0,0,0,41,0,0,0,0,0,0,plot not 1 by 1 meter,
AV14,3,06-07-16,12,14,13,12,22.2,22.4,26.2,18.5,5,0,5,95,0,0,0,0,0,65,0,0,0,0,0,0,fallen bark,
AV14,4,06-07-16,14,16,15,9,25.1,14.5,12.3,10,5,0,0,100,0,3,0,0,0,183,0,0,0,0,0,0,covered in pine cones,
AV14,5,06-07-16,10,17,16,23,16.9,18.2,13.8,20,2,0,5,95,0,0,1,0,0,64,0,0,0,0,0,0,fallen tree branches,
AV14,6,06-07-16,27,7,17,27,0.4,11.5,5,14.5,0,40,20,95,0,0,0,0,0,16,0,0,0,0,0,0,fallen tree,
AX15,1,15-06-16,9,24,28,18,21.5,17.1,27.6,30.1,15,45,15,80,0,0,0,0,0,13,0,0,0,0,0,0,,
AX15,2,15-06-16,6,8,12,14,15.8,19.1,6.8,12.3,4,16,8,98,2,0,0,0,0,4,0,0,0,0,0,0,moisture 4 > 10 cm due to tree root,
AX15,3,15-06-16,17,18,22,10,24,17.8,27,25.8,0,0,25,100,0,0,0,1,0,12,0,0,0,0,0,0,,
AX15,4,15-06-16,10,15,21,17,18.6,6.4,23.7,13.1,2,10,20,100,0,0,0,1,2,28,0,0,0,0,0,0,moisture 2 moved slightly outside quad (w / 10 cm) due to nurse log,
AX15,5,15-06-16,14,18,19,15,11.4,15.8,12.2,12.4,2,2,3,100,0,0,0,0,0,6,0,0,0,0,0,0,,
AX15,6,15-06-16,15,16,6,9,30.3,20.5,21.8,22.5,1,35,10,60,2,0,0,0,1,29,0,0,0,0,0,0,moisture 3 measured slightly outside of plot b/c of dead bank ,
PARA,1,20-07-16,17,17,18,10,19.6,27.8,34.9,25.2,1,15,1,75,15,8,0,0,0,0,0,0,0,0,0,0,,
PARA,2,20-07-16,23,19,13,18,28.1,23.1,22.5,20.2,15,20,1,55,5,3,0,0,0,0,0,0,0,0,0,0,nurse log next to plot. Germ. Was emerging form seed coat still when censused. ,
PARA,3,20-07-16,9,11,11,15,27.8,21.8,23.8,13.8,45,0,0,80,5,0,0,0,0,0,0,0,0,0,0,0,,
PARA,4,20-07-16,14,56,21,6,27.6,30.1,30.9,25.3,45,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,,
PARA,5,20-07-16,9,6,26,7,24.9,23.4,25.9,35.7,30,40,3,75,0,2,0,0,0,0,0,0,0,0,0,0,,
PARA,6,20-07-16,12,23,10,24,21.2,26.5,32.5,36.7,12,0,3,60,5,5,1,0,0,0,0,0,0,0,0,0,,
PP17,1,14-06-16,1,5,1,6,3,15.5,13.8,26,0,0,2,98,0,0,0,0,0,0,0,1,0,0,0,0,PICO = first year,
PP17,2,14-06-16,2,3,4,4,18.4,14.7,16.9,19.8,0,0,0,99,0,0,0,0,0,0,0,1,0,0,0,0,PICO = first year,
PP17,3,14-06-16,3,3,8,10,12.6,24.6,28.2,29.8,15,0,20,99,0,0,0,0,0,0,0,0,0,0,0,0,Soil hobo covered by leaves,
PP17,4,14-06-16,8,11,8,12,17.4,26.8,19.7,18.4,0,0,5,95,3,0,0,0,0,0,0,0,0,0,0,0,,
PP17,5,14-06-16,4,4,8,4,18.2,4.4,14.6,0,0,10,0,100,0,0,0,0,0,0,0,0,0,0,0,0,Soil hobo covered by leaves; problem logging; data is missing,
PP17,6,14-06-16,7,6,3,3,27.1,28.7,18.6,27.5,0,0,20,90,0,0,0,0,0,0,0,1,0,0,0,0,Soil hobo covered by leaves,
SPRY,1,13-07-16,40,72,43,36,23,18.7,19.3,23.1,75,20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
SPRY,2,13-07-16,27,17,32,49,21,49.5,31.2,18.5,99,0,1,65,35,1,0,0,0,0,1,0,0,1,0,0,"ABILAS found in seed trap. Majority of quad. Covered by rotting fallen tree & log, ~15% of bottom R corner. Some 1st years may have been covered by fallen tree.",
SPRY,3,13-07-16,12,14,5,7,32,44.2,14,15.7,45,20,2,80,10,5,0,0,0,0,0,0,0,4,0,0,"Large tree ~20% of plot, roots have litter  & seem to act as nurse log",
SPRY,4,13-07-16,8,17,9,17,25.6,NA,41.7,47.1,15,0,20,15,20,0,0,0,0,0,0,0,0,0,0,0,"1 ABIESsp. Germ., but too young to ID. Stream covers ~50% of quadrat. Top L corner has rocks and no H2O reading was taken. ",
SPRY,5,13-07-16,10,11,24,8,13.4,30.2,34.6,23,15,40,9,75,0,20,0,0,0,0,0,0,0,6,0,0,"1 ABIESsp. Germ., but too young to ID, think it's an ABIAMA but coulf be ABILAS. Survey may have been too early for all 1st years to have germinated. ",
SPRY,6,13-07-16,13,17,7,20,22.5,26.8,21.8,18.8,7,17,1,80,12,14,0,0,0,0,1,0,0,1,0,0,,
SUNR,1,11-08-16,10,22,11,17,7.2,0.3,6.9,1.5,25,0,0,90,0,4,3,0,0,0,0,0,0,0,0,0,Soild moisture prong pulled out of ground in quadrat 1,
SUNR,2,11-08-16,15,16,17,15,1.3,7.9,6.8,3.1,0,0,0,100,0,3,5,0,0,0,2,0,0,1,0,0,,
SUNR,3,11-08-16,16,8,10,13,10.2,11.4,6.3,7.9,2,0,3,90,6,1,1,0,0,0,0,0,0,0,0,0,,
SUNR,4,11-08-16,22,13,16,6,11.9,10.6,3.5,7.6,4,0,0,80,10,3,7,0,0,0,1,0,0,0,0,0,,
SUNR,5,11-08-16,17,17,18,11,6.4,8.1,3.3,3.6,0,0,0,95,5,1,4,0,0,0,3,0,0,0,0,0,,
SUNR,6,11-08-16,10,11,18,5,1.7,3.9,3.4,3.6,0,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,,
TA01,1,15-06-16,7,6,9,8,15.9,14.1,23.5,18.8,25,30,90,10,0,0,0,0,0,0,0,0,0,0,0,0,,
TA01,2,15-06-16,3,4,15,9,8.5,4.9,10.6,13.6,30,0,95,20,0,0,0,0,0,0,0,0,0,0,0,0,,
TA01,3,15-06-16,5,8,3,3,10.1,17.8,8.9,14.1,1,0,35,45,15,0,0,0,0,0,0,0,0,0,0,0,rocks = 15%,
TA01,4,15-06-16,2,9,6,9,8.7,9.6,8.5,13.9,10,0,98,12,1,0,0,0,0,1,0,0,0,0,0,0,,
TA01,5,15-06-16,8,7,6,6,18,14.8,19,17.8,20,0,30,70,0,0,0,0,0,1,0,0,0,0,0,0,log = 20,
TA01,6,15-06-16,4,5,6,5,6.1,6.1,14,1.68,12,0,30,95,1,0,0,0,0,0,0,0,0,0,0,0,,
TB13,1,15-06-16,18,20,18,13,17.2,20.1,18.5,20.4,0,0,95,10,0,0,0,0,0,2,0,0,0,0,0,0,,
TB13,2,15-06-16,18,14,26,22,17.8,14.8,18.5,6.2,2,40,90,20,0,0,0,0,0,2,0,0,0,0,0,0,,
TB13,3,15-06-16,14,18,22,14,17,30.4,14.1,14.9,3,0,70,30,0,0,0,0,0,2,0,0,0,0,0,0,,
TB13,4,15-06-16,18,22,17,18,8,4.8,5.1,9.8,10,35,60,30,0,0,0,0,0,3,0,0,0,0,0,0,,
TB13,5,15-06-16,7,10,16,17,5.7,4,3.9,5.8,5,30,50,25,0,0,0,0,0,3,0,0,0,0,0,0,,
TB13,6,15-06-16,11,10,18,12,10,19,10,14,25,0,10,90,5,0,0,0,0,2,0,0,0,0,0,0,,"values for canopy exposure has decimals, rounded to nearest whole #"
TO04,1,16-06-16,18,22,10,14,9.2,7.8,4.8,8,85,35,60,90,0,0,0,0,0,1,0,0,0,0,0,0,,
TO04,2,16-06-16,11,5,11,35,11,0.6,10.3,9.9,90,20,95,100,0,0,0,0,0,0,0,0,0,0,0,0,,
TO04,3,16-06-16,11,7,4,9,13.8,11,8.9,,100,100,90,90,0,0,0,0,0,5,0,0,0,0,0,0,,No value given for SM #4
TO04,4,16-06-16,0,1,3,2,8.8,9.2,8.9,8.2,85,5,70,100,0,0,0,0,0,0,0,0,0,0,0,0,,
TO04,5,16-06-16,23,14,4,15,1.4,4.7,6.8,2.3,10,30,75,100,0,0,0,0,0,3,0,0,0,0,0,0,Quad 5 moisture readings (2) taken from Nurse log ; fallen log = 25%,
TO04,6,16-06-16,4,2,6,7,9.9,16.4,17.3,3,100,60,10,100,0,0,0,0,0,0,0,0,0,0,0,0,,
TO11,1,22-06-16,12,19,7,12,4.8,4.6,7.5,5.2,95,25,60,90,0,0,0,0,0,2,0,0,0,0,0,0,,
TO11,2,22-06-16,13,15,17,9,4.7,4,1.9,3.9,85,40,65,95,0,0,0,0,0,1,0,0,0,0,0,0,,
TO11,3,22-06-16,15,7,10,13,15.2,7.3,7.7,4.9,95,30,30,95,0,0,0,0,0,0,0,0,0,0,0,0,Soil moisture  measurement 4: corner is tree -reading taken outside plot,
TO11,4,22-06-16,9,19,7,8,6.3,9.2,2.5,2.4,20,75,85,98,0,0,0,0,0,9,0,0,0,0,0,0,soil moisture measurement taken from under log below pvc poles,
TO11,5,22-06-16,12,21,14,7,7.2,5.1,2.5,11.2,50,35,90,98,0,0,0,0,0,1,0,0,0,0,0,0,,
TO11,6,22-06-16,7,12,29,,4.9,2.1,2.1,8.1,65,5,10,100,0,0,0,0,0,0,0,0,0,0,0,0,,
