Stand,Quadrat,Date,Light1,Light2,Light3,Light4,% Moisture1,% Moisture2,% Moisture3,% Moisture4,Veg%Cover,Nurselog%Cover,Moss%Cover,Litter%Cover,Bare%Cover,Rock%Cover,Tree%Cover,ABAM,CANO,PSME,THPL,TSHE,TSME,PICO,PIEN,ABLA,ABPR,PIMO,Field Notes,Lab Notes
AG05,4,16-06-14,7,6,11,5,3.7,5.1,4.2,0.9,10,10,20,90,0,0,0,0,0,1,0,5,0,0,0,0,0,0,,
AG05,5,16-06-14,8,14,14,6,3.7,5.4,2.5,0.2,15,0,25,90,0,0,0,0,0,2,0,1,0,0,0,0,0,0,,
AG05,6,16-06-14,9,5,11,14,3.9,3.9,3.6,1.4,NA,NA,NA,NA,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,1 TABR 1st year,
AM16,1,01-07-14,23,53,18,19,18.5,19.8,9.7,10.2,40,0,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20 logs,
AM16,2,01-07-14,19,21,11,31,28.7,28.1,17.3,20.9,30,0,20,80,0,0,0,0,3,0,1,0,0,0,0,0,0,0,,
AM16,3,01-07-14,34,26,33,8,15.1,15.6,20.5,30.5,70,15,20,80,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,
AM16,4,01-07-14,12,15,18,17,35,49.7,17.7,24.7,95,0,10,90,0,0,0,0,2,0,1,0,0,0,0,0,0,0,,
AM16,5,01-07-14,2,3,4,4,49.2,49.7,42.6,51.6,75,0,95,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,
AM16,6,01-07-14,2,4,6,7,30.3,31.9,18.3,11.8,60,10,5,80,0,0,0,0,1,0,1,8,1,0,0,0,0,0,,
AM16,1,15-07-14,25,51,8,24,NA,NA,NA,NA,75,5,10,35,0,0,0,0,0,0,0,1,1,0,0,0,0,0,basket needs to be replaced,
AM16,2,15-07-14,17,33,15,18,1.2,0.5,NA,1.2,55,0,40,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
AM16,3,15-07-14,18,5,13,5,0.8,0.4,0.2,2.5,85,20,30,80,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,
AM16,4,15-07-14,10,23,16,10,15.3,15.5,20.5,12.8,90,0,5,35,0,0,0,0,1,0,0,22,1,0,0,0,0,0,,
AM16,5,15-07-14,2,3,3,4,22,22.6,23,22.7,80,0,90,10,0,0,0,1,0,0,0,7,0,0,0,0,0,0,,
AM16,6,15-07-14,4,2,7,6,5.3,4.7,5.2,2.3,70,10,20,60,0,0,0,1,1,0,0,12,2,0,0,0,0,0,,
AO03,1,26-06-14,10,6,4,16,1.4,3.1,6.8,7.4,90,0,60,35,0,0,0,1,0,1,63,77,0,0,0,0,0,0,,
AO03,2,26-06-14,4,7,7,6,5.3,NA,NA ,NA,15,60,60,30,0,0,0,2,0,0,61,26,0,0,0,0,0,0,One of the hemlock germinants is small and might be a PIEN (but unlikely),
AO03,3,26-06-14,3,3,22,10,1.5,0.7,1.7,0.1,90,0,0,100,0,0,0,1,0,0,10,7,0,0,0,0,0,0,,
AO03,4,26-06-14,5,17,3,7,NA ,NA ,NA ,NA ,30,95,20,40,0,0,0,0,0,0,55,36,0,0,0,0,0,0,Notes: missing second year seedlings likely due to small localized landslide based on observation (in quad 4),
AO03,5,26-06-14,10,6,9,4,0.6,NA,2.4,2.5,60,30,20,80,0,0,0,0,0,1,14,8,0,0,0,0,0,0,Potentially other species in this quad (see notes and camera) ,
AO03,6,26-06-14,11,4,9,8,3.8,0.8,0.9,2.1,80,0,10,90,0,0,0,1,0,0,25,45,0,0,0,0,0,0,,
AR07,1,15-07-14,9,7,6,6,NA,NA,NA,3,50,0,0,65,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AR07,2,15-07-14,3,5,7,10,NA,NA,1.1,0.3,40,0,0,90,0,0,10,1,1,0,0,0,0,0,0,0,0,0,,
AR07,3,15-07-14,9,5,5,6,NA,0.1,NA,NA,70,0,30,70,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,
AR07,4,15-07-14,17,35,9,2,5.5,0.6,0.3,0.6,80,0,5,90,0,0,5,2,0,0,0,0,0,0,0,0,0,0,,
AR07,5,15-07-14,21,33,23,25,0.7,2.9,1,0.5,40,0,15,80,0,0,10,1,3,0,0,0,0,0,0,0,0,0,basket needs replacing,
AR07,6,15-07-14,6,9,8,13,0.8,6.3,NA,NA,60,0,1,80,0,0,30,1,0,0,0,0,0,0,0,0,0,0,,
AV02,1,25-06-14,8,3,8,10,0.1,1.2,0.3,NA,25,0,5,95,0,0,0,0,0,0,11,22,0,0,0,0,0,0,"For moisture measurements, there was downed vegetation and lots of air holes",
AV02,2,25-06-14,3,2,4,8,805,401,109,0.9,5,0,3,95,0,0,0,0,0,2,0,13,0,0,0,0,0,0,,
AV02,3,25-06-14,5,1,3,6,NA,1.4,0.9,NA,0,0,10,89,1,0,0,0,0,1,0,10,0,0,0,0,0,0,"Organic litter, air holes",
AV02,4,25-06-14,2,5,3,4,NA,NA,NA,108,0,0,3,30,2,0,0,0,0,0,0,2,0,0,0,0,0,0,"Many boulders and litter, so lots of air holes ",
AV02,5,25-06-14,11,5,2,8,NA,0.6,NA,2.7,40,0,75,25,0,0,0,1,0,1,0,14,0,0,0,0,0,0,"Organic material, air holes",
AV02,6,25-06-14,9,5,2,11,1.0,NA,NA,NA,3,40,90,10,0,0,0,0,0,1,1,36,0,0,0,0,0,0,,
AV06,1,30-06-14,11,9,5,3,24,17.6,20.8,11.1,10,20,40,25,0,0,0,2,2,0,5,52,0,0,0,0,0,0,"30 logs; For all AV06 quads: CANO was distinguished from THPL on basis of cotelydon length and width, but germinants tallied as CANO could possibly be large THPL specimens",
AV06,2,30-06-14,4,3,5,9,16.2,21.8,9.6,23.9,30,0,75,25,0,0,0,6,0,0,0,21,0,0,0,1,0,0,,
AV06,3,30-06-14,6,6,4,5,20.8,15.5,24.4,17.5,5,0,70,5,0,0,0,1,0,1,1,37,0,0,0,0,0,0,,
AV06,4,30-06-14,9,3,3,5,29.5,29.4,26,30.3,50,0,10,90,0,0,0,1,2,1,4,73,0,0,0,0,0,0,,
AV06,5,30-06-14,5,4,3,4,6.6,25.5,26.4,15.7,20,0,70,35,0,0,0,4,0,0,2,13,0,0,0,0,0,0,,
AV06,6,30-06-14,13,5,6,6,28.4,22.5,30.2,15.1,75,0,80,10,5,0,0,0,0,1,2,10,0,0,0,0,0,0,5 rocks,
AV14,1,16-07-14,15,27,8,7,14.1,13.2,17.4,15.6,40,30,0,30,0,0,0,2,1,0,2,91,0,0,0,0,0,0,,
AV14,2,16-07-14,8,4,5,7,11.6,15.6,11.1,17.5,75,20,1,25,0,0,0,0,0,0,1,37,0,0,0,0,0,0,,
AV14,3,16-07-14,8,4,7,9,16.6,21.6,18,14.6,10,80,0,15,0,0,0,0,0,0,0,65,0,0,0,0,0,0,,
AV14,4,16-07-14,8,6,6,10,12.3,4.7,11.4,11.6,10,80,0,15,0,0,0,3,0,0,0,258,0,0,0,0,0,0,,
AV14,5,16-07-14,7,13,8,15,17.3,16.6,1.7,2.7,20,100,0,0,0,0,0,1,0,0,0,70,0,0,0,0,0,0,"massive tree falls, lots of branches and litter",
AV14,6,16-07-14,20,10,17,19,2.1,6.8,7.7,0.9,0,100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"massive tree falls, lots of branches and litter",
AX15,1,02-07-14,4,6,6,4,20.2,15.7,21.6,17.5,15,30,10,70,0,0,0,0,0,0,0,29,0,0,0,0,0,0,,
AX15,2,02-07-14,3,4,8,5,10.6,17.4,19.1,7.2,1,10,10,95,0,0,0,0,0,1,0,10,0,0,0,0,0,0,,
AX15,3,02-07-14,3,4,6,8,14.9,19.6,16.9,23.2,0,0,20,90,0,0,0,0,0,0,0,28,0,0,0,0,0,0,10 logs,
AX15,4,02-07-14,5,3,6,8,12.5,19.4,22.4,18.5,5,0,8,95,0,0,0,0,0,3,0,49,0,0,0,0,0,0,,
AX15,5,02-07-14,7,6,4,5,15.1,12.5,16.3,13.1,1,0,5,95,0,0,0,0,0,0,1,23,0,0,0,0,0,0,,
AX15,6,02-07-14,9,7,4,5,20.8,13.4,15.8,14.8,2,0,5,95,0,0,0,0,0,0,1,46,0,0,0,0,0,0,"20 logs; nurselog is not very decayed, but there are seeedlings growing from it",
PARA,1,22-07-14,11,12,12,10,19.4,10.7,10.3,14,1,0,0,100,0,0,0,20,0,0,0,0,0,0,0,5,0,0,,
PARA,2,22-07-14,18,9,15,18,16.2,18.2,17.4,19.6,15,0,1,90,0,0,0,15,0,0,0,0,0,0,0,12,0,0,,
PARA,3,22-07-14,12,10,9,11,15.3,22.1,17.9,3.3,15,0,0,95,5,0,0,13,0,0,0,0,0,0,0,8,0,0,,
PARA,4,22-07-14,12,14,10,67,42.7,42.6,37.1,37.9,50,0,60,40,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,
PARA,5,22-07-14,18,20,3,2,40,20.9,14.1,18.7,30,0,3,75,0,0,0,5,0,0,0,0,0,0,0,3,0,0,,
PARA,6,22-07-14,15,9,7,14,20.4,32,24.7,23.6,10,0,5,85,0,0,0,6,0,0,0,0,0,0,0,4,0,0,,
PP17,1,25-06-14,7,10,11,7,NA,NA,NA,NA,0,0,0,85,5,0,0,0,0,6,0,3,0,0,2,0,0,0,10 rocks; one PSME in seed coat; one potential TSHE with four cotyledons still with seed coat,
PP17,2,25-06-14,9,4,11,3,NA,NA,NA,NA,15,0,0,93,2,0,0,0,0,1,0,1,0,2,1,1,0,0,5 rocks,
PP17,3,25-06-14,42,11,27,44,0.7,1.9,2,0.3,8,0,25,60,0,0,0,0,0,1,0,0,0,0,2,0,0,0,15 rocks,
PP17,4,25-06-14,21,9,44,35,NA,1.4,NA,1.2,<1,0,5,55,15,0,0,0,0,1,0,1,0,0,0,0,0,0,"15 rocks, 15 logs",
PP17,5,25-06-14,4,6,23,10,NA,NA,NA,NA,0,0,0,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30 rocks ,
PP17,6,25-06-14,16,24,10,7,NA,0.9,0.9,0,0,20,60,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,40 rocks,
PP17,1,08-07-14,7,10,11,7,0.7,NA,NA,NA,0,0,0,85,5,10,0,0,0,5,0,2,0,0,3,0,0,0,,
PP17,2,08-07-14,9,4,11,3,4.8,NA,6.6,6.7,15,0,0,93,2,5,0,0,0,1,0,1,1,0,1,0,0,0,,
PP17,3,08-07-14,42,11,27,44,1.3,2.2,NA,NA,8,0,25,60,0,15,0,0,0,2,0,2,0,0,3,0,0,0,"TSHE seed coat still on one, PIEN seed coat still on one",
PP17,4,08-07-14,21,9,44,35,3.2,1.6,6.2,NA,1,0,5,55,15,15,0,0,0,1,0,1,0,0,0,0,0,0,,
PP17,5,08-07-14,4,6,23,10,NA,NA,NA,NA,0,0,0,70,0,30,0,0,0,0,0,0,0,0,0,0,0,0,,
PP17,6,08-07-14,16,24,10,7,4.6,4.2,6.5,NA,0,0,20,60,0,40,0,1,0,0,0,0,0,1,0,0,0,0,moss cover on rocks,
SPRY,1,29-07-14,34,43,51,47,4.2,8.4,4.8,NA,10,0,0,95,0,0,25,0,0,0,0,0,1,0,0,0,0,0,,
SPRY,2,29-07-14,29,20,10,19,12,3.6,8.8,1.3,100,0,0,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,
SPRY,3,29-07-14,10,8,5,4,0.8,2.3,NA,NA,40,0,5,100,0,0,45,2,0,0,0,0,0,0,0,0,0,0,,
SPRY,4,29-07-14,16,19,21,10,3.3,14.8,20.1,NA,25,0,45,10,0,0,30,0,0,0,0,0,0,0,0,0,0,0,stream flows through quad,
SPRY,5,29-07-14,5,6,6,4,4.7,5.3,5.9,5.6,40,30,5,50,0,0,0,2,2,0,0,0,1,0,0,2,0,0,,
SPRY,6,29-07-14,5,10,3,8,NA,2,NA,0.6,30,0,0,70,0,0,15,1,2,0,0,0,0,0,0,1,0,0,,
SUNR,1,22-07-14,9,10,10,12,3.1,5,NA,0.8,0,0,0,85,15,0,0,13,0,0,0,0,2,0,0,21,0,0,,
SUNR,2,22-07-14,8,16,17,13,1.4,1.5,0.3,6.4,0,0,0,90,10,0,0,4,0,0,0,0,1,0,0,6,0,0,,
SUNR,3,22-07-14,19,20,22,25,2.4,7.1,3.7,3.6,5,15,0,95,0,0,0,1,0,0,0,0,1,0,0,12,0,0,"pole in corner way out, but old hole still visible so we replaced it",
SUNR,4,22-07-14,20,23,27,28,5.9,3.7,9.5,5,3,10,2,95,5,0,0,10,0,0,0,0,8,0,0,48,0,0,,
SUNR,5,22-07-14,13,5,7,11,3.4,1.7,2.8,1.4,0,0,0,95,5,0,0,0,0,0,0,0,0,0,0,9,0,0,,
SUNR,6,22-07-14,1,2,2,2,2.3,2.7,5,0.4,15,0,0,95,0,0,0,3,0,0,0,0,1,0,0,9,0,0,"for ABLA, four in seed coat(included in count but unsure of ID)",
TA01,1,27-06-14,10,7,6,11,8.7,3.7,3.5,5.6,25,0,80,20,0,0,0,0,0,22,1,18,0,0,0,0,0,0,,
TA01,2,27-06-14,11,5,10,5,0,1,NA,3.0,35,0,90,15,0,0,0,0,0,22,0,7,0,0,0,0,0,0,,
TA01,3,27-06-14,5,9,11,12,1.5,0.6,4,2.5,1,0,70,30,0,0,0,0,0,6,0,5,0,0,0,0,0,0,1 TABR; 30 rocks,
TA01,4,27-06-14,10,9,6,7,NA,0,NA,1.1,10,0,90,5,0,0,0,0,0,23,0,5,0,0,0,0,0,0,,
TA01,5,27-06-14,9,6,11,12,3.7,2.9,3.4,NA,30,0,35,60,0,0,0,0,0,10,0,13,0,0,0,0,0,0,20 logs,
TA01,6,27-06-14,9,6,6,7,0.4,2.8,0,5.2,10,0,80,30,0,0,0,0,0,13,0,18,0,0,0,0,0,0,10 logs,
TB13,1,19-06-14,14,12,13,16,1.4,1.1,4.5,2.6,5,0,95,10,0,0,0,0,0,3,0,21,0,0,0,0,0,0,,
TB13,2,19-06-14,19,14,14,16,3.8,1.9,3.4,0.41,10,0,80,20,0,0,0,0,0,4,0,23,0,0,0,0,0,0,,
TB13,3,19-06-14,18,14,12,17,0.46,0.06,0.3,0.23,5,0,65,40,0,0,0,0,0,1,0,20,0,0,0,0,0,0,,
TB13,4,19-06-14,18,13,15,23,0.03,0.08,0.25,0.24,20,2,55,25,0,0,0,0,0,1,1,26,0,0,0,0,0,0,,
TB13,5,19-06-14,14,12,7,8,0.22,0.29,0.19,0.48,5,0,70,30,0,0,0,0,0,2,0,26,0,0,0,0,0,0,,
TB13,6,19-06-14,9,13,10,9,0.27,0.24,0.09,0.19,15,0,30,70,0,0,0,0,0,0,0,14,0,0,0,0,0,0,,
TO11,1,01-07-14,7,4,3,4,3.4,0.5,1.8,0.1,95,20,40,5,0,0,0,0,0,0,0,58,0,0,0,0,0,0,,
TO11,2,01-07-14,10,4,7,9,0.5,0.3,2.1,3.4,85,50,10,15,0,0,0,0,0,1,0,30,0,0,0,0,0,0,,
TO11,3,01-07-14,4,7,8,10,1,0.2,0.3,4.8,70,20,30,10,0,0,0,0,0,0,2,29,0,0,0,0,0,0,Living tree in the quadrat,
TO11,4,01-07-14,5,1,2,3,5.0,1.9,6.7,9.9,4,50,65,40,0,0,0,0,0,0,0,31,0,0,0,0,0,0,,
TO11,5,01-07-14,7,12,6,5,3.4,2.2,1.0,0.3,80,25,30,30,0,0,0,0,0,4,1,130,0,0,0,0,0,0,,
TO11,6,01-07-14,7,12,6,2,4.2,2.2,0,6.0,85,0,40,5,0,0,0,0,0,0,2,17,0,0,0,0,0,0,,
TO04,1,18-06-14,13,12,14,17,4.4,0.8,1.7,4.2,40,2,25,50,0,0,0,0,0,0,1,45,0,0,0,0,0,0,"lots of air pockets, soil moisture is likely to be higher",
TO04,2,18-06-14,46,28,60,29,2.5,0.7,2.1,2.6,50,0,50,5,0,0,0,0,0,2,3,41,0,0,0,0,0,0,7% branch,
TO04,3,18-06-14,8,29,9,15,3.8,6.4,2.7,10.6,50,60,20,10,0,0,0,0,0,3,10,107,0,0,0,0,0,0,,
TO04,4,18-06-14,10,14,24,9,3.6,2.4,0.2,3.3,60,0,20,60,0,0,0,0,0,1,5,37,0,0,0,0,0,0,,
TO04,5,18-06-14,8,12,8,5,NA,2.6,0.5,12.1,15,25,20,60,0,0,0,0,0,1,5,37,0,0,0,0,0,0,,
TO04,6,18-06-14,2,3,5,9,2.4,4.1,1.9,NA,80,0,15,10,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
