"year","stand","trapno","spp","loose_sds_filled","loose_sds_unfilled","cones","cones_sds_filled","cones_sds_unfilled","cone_sds_all","standardized_notes"
2018,"AG05",3,"PSME",4,2,0,1,0,1,"1 cone scale"
2018,"AG05",3,"THPL",45,46,7,10,7,17,""
2018,"AG05",3,"TSHE",7,3,0,0,0,0,""
2018,"AG05",4,"ABAM",4,1,0,0,0,0,""
2018,"AG05",4,"PSME",3,1,0,0,0,0,""
2018,"AG05",4,"THPL",45,28,23,19,13,32,""
2018,"AG05",4,"TSHE",4,3,0,0,0,0,""
2018,"AG05",5,"ABAM",1,2,0,0,0,0,""
2018,"AG05",5,"PSME",9,3,0,0,0,0,""
2018,"AG05",5,"THPL",48,43,9,19,9,28,"broke an unfilled seed in half"
2018,"AG05",5,"THPL",1,0,0,0,0,0,""
2018,"AG05",5,"TSHE",3,1,0,0,0,0,""
2018,"AG05",5,"TSHE",105,43,16,4,2,6,""
2018,"AG05",6,"ABAM",1,1,0,0,0,0,""
2018,"AG05",6,"PSME",5,1,1,0,0,0,""
2018,"AG05",6,"THPL",24,25,22,59,44,103,""
2018,"AG05",6,"TSHE",1,3,0,0,0,0,""
2018,"AM16",1,"TSHE",0,5,1,0,0,0,""
2018,"AM16",2,"TSHE",1,3,0,0,0,0,""
2018,"AM16",3,"CANO",3,0,0,0,0,0,""
2018,"AM16",3,"TSHE",2,2,1,0,0,0,""
2018,"AM16",3,"TSME",0,0,2,0,0,0,""
2018,"AM16",4,"CANO",1,0,0,0,0,0,""
2018,"AM16",4,"TSHE",1,7,0,0,0,0,""
2018,"AM16",5,"CANO",5,0,0,0,0,0,""
2018,"AM16",5,"TSHE",2,14,0,0,0,0,""
2018,"AM16",5,"TSME",2,2,0,0,0,0,""
2018,"AM16",6,"CANO",4,0,2,0,0,0,""
2018,"AM16",6,"TSHE",3,11,0,0,0,0,""
2018,"AO03",1,"PSME",1,1,0,0,0,0,""
2018,"AO03",1,"THPL",7,8,1,3,1,4,""
2018,"AO03",1,"TSHE",35,13,11,0,0,0,""
2018,"AO03",2,"PSME",1,0,0,0,0,0,""
2018,"AO03",2,"THPL",4,4,11,9,31,40,""
2018,"AO03",2,"TSHE",27,17,8,2,4,6,""
2018,"AO03",3,"ABAM",1,0,0,0,0,0,""
2018,"AO03",3,"PSME",3,1,0,0,0,0,""
2018,"AO03",3,"THPL",2,4,8,0,6,6,""
2018,"AO03",3,"TSHE",74,54,42,11,14,25,""
2018,"AO03",4,"PSME",20,26,1,4,0,4,""
2018,"AO03",4,"THPL",13,15,18,4,27,31,""
2018,"AO03",4,"TSHE",35,39,12,1,4,5,""
2018,"AO03",6,"PSME",24,8,11,12,4,16,""
2018,"AO03",6,"THPL",1,2,3,3,10,13,""
2018,"AO03",6,"TSHE",7,15,0,0,0,0,""
2018,"AO03",5,"PSME",9,0,1,6,0,6,""
2018,"AO03",5,"THPL",5,10,1,1,6,7,""
2018,"AO03",5,"TSHE",18,23,4,5,1,6,""
2018,"AR07",1,"CANO",2,0,0,0,0,0,""
2018,"AR07",1,"TSME",3,4,1,1,0,1,""
2018,"AR07",2,"CANO",0,0,7,5,0,5,""
2018,"AR07",2,"TSME",2,2,1,0,1,1,""
2018,"AR07",3,"CANO",5,1,4,2,0,2,""
2018,"AR07",3,"TSME",0,3,0,0,0,0,""
2018,"AR07",4,"CANO",4,1,2,0,2,2,""
2018,"AR07",4,"TSME",1,2,0,0,0,0,""
2018,"AR07",5,"CANO",2,0,0,0,0,0,""
2018,"AR07",5,"TSME",0,1,0,0,0,0,""
2018,"AR07",6,"CANO",7,1,2,0,0,0,""
2018,"AR07",6,"TSME",1,2,0,0,0,0,""
2018,"AV02",1,"PSME",2,2,0,0,0,0,""
2018,"AV02",1,"THPL",2,0,0,0,0,0,""
2018,"AV02",1,"TSHE",69,29,17,0,7,7,""
2018,"AV02",2,"PSME",4,0,0,0,0,0,""
2018,"AV02",2,"TSHE",63,27,26,31,6,37,""
2018,"AV02",3,"ABAM",0,0,0,1,0,1,"1 cone scale"
2018,"AV02",3,"PSME",0,3,0,0,0,0,""
2018,"AV02",3,"TSHE",71,41,13,8,1,9,""
2018,"AV02",4,"ABAM",1,0,0,0,0,0,""
2018,"AV02",4,"PSME",1,0,0,0,0,0,""
2018,"AV02",4,"TSHE",76,39,27,13,13,26,""
2018,"AV02",5,"ABAM",2,0,0,0,0,0,""
2018,"AV02",5,"PSME",1,0,0,0,0,0,""
2018,"AV02",6,"ABAM",8,1,0,0,0,0,""
2018,"AV02",6,"PSME",1,1,0,0,0,0,""
2018,"AV02",6,"TSHE",70,31,7,3,1,4,""
2018,"AV06",1,"ABAM",2,0,0,0,0,0,""
2018,"AV06",1,"THPL",2,2,0,0,0,0,""
2018,"AV06",1,"TSHE",2,8,1,0,0,0,""
2018,"AV06",2,"ABAM",1,0,0,0,0,0,""
2018,"AV06",2,"THPL",2,2,0,0,0,0,""
2018,"AV06",2,"TSHE",15,3,24,10,0,10,""
2018,"AV06",3,"PSME",0,1,0,0,0,0,""
2018,"AV06",3,"THPL",3,0,0,0,0,0,""
2018,"AV06",3,"TSHE",20,2,27,0,14,14,""
2018,"AV06",4,"ABAM",0,2,0,0,0,0,""
2018,"AV06",4,"PSME",1,1,0,0,0,0,""
2018,"AV06",4,"TSHE",3,5,10,0,0,0,""
2018,"AV06",5,"ABAM",7,0,0,0,0,0,""
2018,"AV06",5,"PSME",0,2,0,0,0,0,""
2018,"AV06",5,"THPL",1,1,0,0,0,0,""
2018,"AV06",5,"TSHE",3,12,1,0,0,0,""
2018,"AV06",6,"ABAM",3,2,0,0,0,0,""
2018,"AV06",6,"THPL",0,0,1,0,0,0,""
2018,"AV06",6,"TSHE",0,5,0,0,0,0,""
2018,"AV14",1,"ABAM",1,0,0,0,1,1,"3 cone scales"
2018,"AV14",1,"TSHE",31,4,2,0,0,0,""
2018,"AV14",2,"ABAM",1,1,0,0,0,0,""
2018,"AV14",2,"TSHE",33,2,4,0,0,0,""
2018,"AV14",3,"ABAM",2,0,0,0,0,0,""
2018,"AV14",3,"TSHE",21,0,86,55,1,56,""
2018,"AV14",4,"TSHE",28,3,50,20,2,22,""
2018,"AV14",5,"ABAM",0,1,0,0,0,0,""
2018,"AV14",5,"TSHE",40,2,17,4,0,4,""
2018,"AV14",6,"TSHE",39,6,21,0,0,0,""
2018,"AX15",1,"THPL",5,2,0,0,0,0,""
2018,"AX15",1,"TSHE",12,3,3,6,2,8,""
2018,"AX15",2,"PSME",2,1,0,0,0,0,""
2018,"AX15",2,"THPL",3,0,0,0,0,0,""
2018,"AX15",2,"TSHE",16,3,2,0,0,0,""
2018,"AX15",3,"THPL",1,1,0,0,0,0,""
2018,"AX15",3,"TSHE",23,2,7,2,0,2,""
2018,"AX15",4,"TSHE",12,2,0,0,0,0,""
2018,"AX15",5,"PSME",0,1,0,0,0,0,""
2018,"AX15",5,"THPL",1,0,5,7,0,7,""
2018,"AX15",5,"TSHE",10,3,2,0,0,0,""
2018,"AX15",6,"THPL",3,2,13,10,13,23,""
2018,"AX15",6,"TSHE",11,1,5,0,0,0,""
2018,"PARA",1,"TSME",3,0,0,0,0,0,"1 cone scale"
2018,"PARA",2,"ABAM",1,0,0,0,0,0,""
2018,"PARA",2,"ABLA",2,0,0,0,0,0,""
2018,"PARA",2,"TSME",1,0,1,4,0,4,""
2018,"PARA",3,"ABAM",1,0,0,0,0,0,""
2018,"PARA",3,"ABLA",2,0,0,0,0,0,""
2018,"PARA",3,"CANO",0,1,0,0,0,0,""
2018,"PARA",3,"TSME",5,0,0,0,0,0,""
2018,"PARA",4,"ABLA",1,0,0,0,0,0,""
2018,"PARA",4,"TSME",1,0,1,0,0,0,""
2018,"PARA",5,"ABAM",0,1,0,0,0,0,""
2018,"PARA",5,"TSME",3,0,1,0,0,0,""
2018,"PARA",6,"CANO",1,0,0,0,0,0,""
2018,"PARA",6,"TSME",5,0,1,0,0,0,""
2018,"PP17",1,"PICO",6,8,0,0,0,0,""
2018,"PP17",1,"PIEN",1,0,0,0,0,0,""
2018,"PP17",1,"PSME",1,2,0,0,0,0,""
2018,"PP17",1,"TSHE",0,1,0,0,0,0,""
2018,"PP17",2,"PICO",11,9,0,0,0,0,""
2018,"PP17",2,"PSME",1,1,0,0,0,0,""
2018,"PP17",3,"PICO",3,13,0,0,0,0,""
2018,"PP17",3,"TSME",1,0,0,0,0,0,""
2018,"PP17",4,"PICO",1,0,0,0,0,0,""
2018,"PP17",4,"PSME",3,0,0,0,0,0,""
2018,"PP17",5,"PICO",3,0,0,0,0,0,"broke a filled seed in half"
2018,"PP17",6,"PICO",2,1,0,0,0,0,""
2018,"PP17",6,"PSME",5,5,0,0,0,0,""
2018,"SPRY",1,"CANO",1,1,0,0,0,0,""
2018,"SPRY",2,"TSME",0,1,0,0,0,0,""
2018,"SPRY",3,"TSME",1,0,0,0,0,0,""
2018,"SPRY",4,"TSME",4,0,1,9,5,14,""
2018,"SPRY",6,"CANO",0,1,1,3,1,4,""
2018,"SPRY",6,"TSME",1,0,0,0,0,0,""
2018,"SUNR",1,"CANO",1,1,0,0,0,0,""
2018,"SUNR",2,"CANO",1,1,0,0,0,0,""
2018,"SUNR",3,"CANO",0,0,1,0,0,0,""
2018,"SUNR",4,"CANO",0,5,0,0,0,0,""
2018,"SUNR",5,"ABAM",0,1,0,0,0,0,""
2018,"SUNR",5,"TSME",1,1,0,0,0,0,""
2018,"SUNR",6,"ABAM",2,0,0,0,0,0,""
2018,"TA01",1,"PSME",6,6,0,0,0,0,""
2018,"TA01",1,"TSHE",22,3,1,4,0,4,""
2018,"TA01",2,"PSME",7,6,0,0,0,0,""
2018,"TA01",2,"TSHE",23,3,0,0,0,0,""
2018,"TA01",3,"PSME",9,5,0,0,0,0,""
2018,"TA01",3,"TSHE",18,1,0,0,0,0,""
2018,"TA01",4,"PSME",5,5,0,0,0,0,""
2018,"TA01",4,"TSHE",10,4,0,0,0,0,""
2018,"TA01",5,"PSME",10,4,0,0,0,0,""
2018,"TA01",5,"TSHE",7,2,0,0,0,0,""
2018,"TA01",6,"PSME",10,3,2,9,18,27,""
2018,"TA01",6,"TSHE",11,5,2,0,0,0,""
2018,"TB13",1,"PSME",2,5,1,0,0,0,""
2018,"TB13",1,"THPL",3,2,0,0,0,0,""
2018,"TB13",1,"TSHE",10,19,9,0,0,0,""
2018,"TB13",2,"PSME",4,3,0,0,0,0,""
2018,"TB13",2,"THPL",4,10,2,0,0,0,""
2018,"TB13",2,"TSHE",2,24,12,0,7,7,""
2018,"TB13",3,"PSME",5,2,0,0,0,0,""
2018,"TB13",3,"THPL",17,17,1,8,1,9,""
2018,"TB13",3,"TSHE",60,13,10,3,0,3,""
2018,"TB13",4,"PSME",7,3,1,1,12,13,""
2018,"TB13",4,"THPL",10,9,5,4,2,6,""
2018,"TB13",4,"TSHE",12,22,8,0,3,3,""
2018,"TB13",5,"PSME",5,2,1,0,0,0,""
2018,"TB13",5,"THPL",6,1,20,22,28,50,""
2018,"TB13",5,"TSHE",4,19,11,1,3,4,""
2018,"TB13",6,"PSME",4,0,0,0,0,0,""
2018,"TB13",6,"THPL",11,18,27,36,17,53,""
2018,"TB13",6,"TSHE",2,36,5,1,4,5,""
2018,"TO04",1,"PSME",3,3,0,0,0,0,""
2018,"TO04",1,"THPL",12,25,6,3,1,4,""
2018,"TO04",1,"TSHE",90,39,29,55,12,67,""
2018,"TO04",2,"PSME",1,1,0,0,0,0,""
2018,"TO04",2,"THPL",32,29,3,2,0,2,""
2018,"TO04",2,"TSHE",97,44,33,111,48,159,""
2018,"TO04",3,"PSME",1,2,0,0,0,0,""
2018,"TO04",3,"THPL",53,52,7,3,1,4,""
2018,"TO04",3,"TSHE",93,25,2,3,2,5,""
2018,"TO04",4,"PSME",2,2,0,0,0,0,""
2018,"TO04",4,"THPL",46,54,14,14,13,27,""
2018,"TO04",4,"TSHE",42,37,2,18,6,24,""
2018,"TO04",5,"PSME",1,0,0,0,0,0,""
2018,"TO04",5,"THPL",117,138,32,27,17,44,""
2018,"TO04",5,"TSHE",95,30,0,0,0,0,""
2018,"TO04",6,"PSME",1,0,0,0,0,0,""
2018,"TO04",6,"THPL",42,65,40,31,37,68,""
2018,"TO04",6,"TSHE",28,17,3,0,0,0,""
2018,"TO11",1,"PSME",4,3,0,0,0,0,""
2018,"TO11",1,"THPL",4,5,0,0,0,0,""
2018,"TO11",1,"TSHE",82,55,13,7,10,17,""
2018,"TO11",2,"PSME",5,5,0,0,0,0,""
2018,"TO11",2,"THPL",1,6,0,0,0,0,""
2018,"TO11",2,"TSHE",240,189,14,17,6,23,""
2018,"TO11",3,"PSME",1,4,0,0,0,0,""
2018,"TO11",3,"THPL",0,3,0,0,0,0,""
2018,"TO11",3,"TSHE",77,66,43,23,13,36,""
2018,"TO11",4,"PSME",2,2,0,0,0,0,""
2018,"TO11",4,"THPL",4,2,0,0,0,0,""
2018,"TO11",4,"TSHE",28,24,52,33,32,65,""
2018,"TO11",5,"THPL",5,12,0,0,0,0,""
2018,"TO11",5,"TSHE",34,51,61,42,42,84,""
2018,"TO11",6,"PSME",1,0,1,2,0,2,""
2018,"TO11",6,"THPL",7,4,0,0,0,0,""
2018,"TO11",6,"TSHE",11,37,18,1,1,2,""
