"year","stand","trapno","spp","loose_sds_filled","loose_sds_unfilled","cones","cones_sds_filled","cones_sds_unfilled","standardized_notes"
2024,"TO04",8,"TSHE",56,58,23,23,138,NA
2024,"TO04",9,"ABAM",0,1,0,0,0,NA
2024,"TO04",9,"PSME",1,2,2,0,0,NA
2024,"TA01",10,"TSME",1,1,0,0,0,NA
2024,"TO04",9,"THPL",12,32,50,14,106,NA
2024,"TO04",10,"PSME",0,3,0,0,0,NA
2024,"TO04",10,"THPL",0,4,0,0,0,NA
2024,"TO04",9,"TSHE",97,71,13,14,63,NA
2024,"TO04",11,"PSME",0,3,0,0,0,NA
2024,"TO04",10,"TSHE",51,28,2,0,9,NA
2024,"TO04",11,"THPL",4,4,2,0,6,NA
2024,"TO04",12,"PSME",0,1,0,0,0,NA
2024,"TO04",12,"THPL",16,14,42,32,53,NA
2024,"TO04",12,"TSHE",81,37,15,0,15,NA
2024,"TO04",13,"THPL",5,12,6,16,26,NA
2024,"TO04",13,"TSHE",28,34,0,0,0,NA
2024,"TO04",14,"PSME",0,1,0,0,0,NA
2024,"TO04",14,"THPL",3,16,1,0,0,NA
2024,"TO04",14,"TSHE",91,59,3,0,11,NA
2024,"TO04",15,"CANO",1,0,0,0,0,"Species not expected for this stand"
2024,"TO04",15,"PSME",4,0,0,0,0,NA
2024,"TO04",11,"TSHE",36,28,4,2,3,NA
2024,"TO04",15,"TSHE",61,69,9,6,7,NA
2024,"TO04",15,"THPL",0,7,1,0,0,NA
