"stand","trap","year","side","firstyeardata","trap.X","size","species","filledseeds","emptyseeds","cones","conefilledseeds","coneemptyseeds","totfilledseeds","totemptyseeds","allseeds"
"AB08",2,2012,"E",2010,45.2,0.17008125,"TSHE",275,7,15,0,0,1616.87428802411,41.1568000587954,1658.0310880829
"AB08",2,2012,"E",2010,45.2,0.17008125,"PSME",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",2,2012,"E",2010,45.2,0.17008125,"THPL",74,4,0,0,0,435.086172050123,23.5181714621688,458.604343512292
"AB08",2,2013,"E",2010,45.2,0.17008125,"THPL",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",2,2013,"E",2010,45.2,0.17008125,"TSHE",9,12,5,0,0,52.9158857898798,70.5545143865065,123.470400176386
"AB08",2,2014,"E",2010,45.2,0.17008125,"THPL",22,14,0,0,0,129.349943041928,82.3136001175909,211.663543159519
"AB08",2,2014,"E",2010,45.2,0.17008125,"PSME",13,2,0,0,0,76.4340572520487,11.7590857310844,88.1931429831331
"AB08",2,2014,"E",2010,45.2,0.17008125,"ABAM",1,1,0,0,0,5.8795428655422,5.8795428655422,11.7590857310844
"AB08",2,2014,"E",2010,45.2,0.17008125,"CANO",0,4,0,0,0,0,23.5181714621688,23.5181714621688
"AB08",2,2014,"E",2010,45.2,0.17008125,"ABGR",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",2,2014,"E",2010,45.2,0.17008125,"TSHE",275,64,10,0,0,1616.87428802411,376.290743394701,1993.16503141881
"AB08",2,2015,"E",2010,45.2,0.17008125,"TSHE",10,30,3,0,0,58.795428655422,176.386285966266,235.181714621688
"AB08",2,2015,"E",2010,45.2,0.17008125,"THPL",1,1,0,0,0,5.8795428655422,5.8795428655422,11.7590857310844
"AB08",2,2016,"E",2010,45.2,0.17008125,"TSHE",77,97,7,7,6,493.881600705545,605.592915150847,1099.47451585639
"AB08",2,2016,"E",2010,45.2,0.17008125,"THPL",0,1,0,0,0,0,5.8795428655422,5.8795428655422
"AB08",2,2017,"E",2010,45.2,0.17008125,"TSHE",180,93,10,18,0,1164.14948737736,546.797486495425,1710.94697387278
"AB08",2,2017,"E",2010,45.2,0.17008125,"THPL",4,3,0,0,0,23.5181714621688,17.6386285966266,41.1568000587954
"AB08",2,2017,"E",2010,45.2,0.17008125,"PSME",0,1,0,0,0,0,5.8795428655422,5.8795428655422
"AB08",2,2018,"E",2010,45.2,0.17008125,"TSHE",1,26,12,0,0,5.8795428655422,152.868114504097,158.74765736964
"AB08",2,2019,"E",2010,45.2,0.17008125,"PSME",2,4,0,0,0,11.7590857310844,23.5181714621688,35.2772571932532
"AB08",2,2019,"E",2010,45.2,0.17008125,"TSHE",745,39,6,15,0,4468.45257781208,229.302171756146,4697.75474956822
"AB08",2,2019,"E",2010,45.2,0.17008125,"THPL",4,0,0,0,0,23.5181714621688,0,23.5181714621688
"AB08",2,2019,"E",2010,45.2,0.17008125,"CANO",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",2,2019,"E",2010,45.2,0.17008125,"ABAM",0,1,0,0,0,0,5.8795428655422,5.8795428655422
"AB08",2,2020,"E",2010,45.2,0.17008125,"THPL",2,3,0,0,0,11.7590857310844,17.6386285966266,29.397714327711
"AB08",2,2020,"E",2010,45.2,0.17008125,"TSHE",32,10,10,4,0,211.663543159519,58.795428655422,270.458971814941
"AB08",2,2021,"E",2010,45.2,0.17008125,"CANO",0,1,0,0,0,0,5.8795428655422,5.8795428655422
"AB08",2,2021,"E",2010,45.2,0.17008125,"TSHE",25,2,8,1,0,152.868114504097,11.7590857310844,164.627200235182
"AB08",2,2022,"E",2010,45.2,0.17008125,"TSME",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",2,2022,"E",2010,45.2,0.17008125,"TSHE",147,4,10,2,0,876.051886965788,23.5181714621688,899.570058427957
"AB08",2,2022,"E",2010,45.2,0.17008125,"THPL",19,25,0,0,0,111.711314445302,146.988571638555,258.699886083857
"AB08",2,2022,"E",2010,45.2,0.17008125,"ABAM",2,0,0,0,0,11.7590857310844,0,11.7590857310844
"AB08",2,2022,"E",2010,45.2,0.17008125,"PSME",17,2,0,0,0,99.9522287142175,11.7590857310844,111.711314445302
"AB08",3,2010,"E",2010,48.7,0.17008125,"THPL",15,0,0,0,0,88.1931429831331,0,88.1931429831331
"AB08",3,2010,"E",2010,48.7,0.17008125,"TSHE",374,74,1,0,0,2198.94903171278,435.086172050123,2634.03520376291
"AB08",3,2010,"E",2010,48.7,0.17008125,"PSME",2,1,0,0,0,11.7590857310844,5.8795428655422,17.6386285966266
"AB08",3,2011,"E",2010,48.7,0.17008125,"PSME",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",3,2011,"E",2010,48.7,0.17008125,"THPL",3,0,0,0,0,17.6386285966266,0,17.6386285966266
"AB08",3,2011,"E",2010,48.7,0.17008125,"TSHE",40,6,7,0,0,235.181714621688,35.2772571932532,270.458971814941
"AB08",3,2012,"E",2010,48.7,0.17008125,"TSHE",257,3,11,0,0,1511.04251644435,17.6386285966266,1528.68114504097
"AB08",3,2012,"E",2010,48.7,0.17008125,"PSME",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",3,2012,"E",2010,48.7,0.17008125,"ABAM",2,0,0,0,0,11.7590857310844,0,11.7590857310844
"AB08",3,2012,"E",2010,48.7,0.17008125,"THPL",68,8,0,0,0,399.80891485687,47.0363429243376,446.845257781208
"AB08",3,2013,"E",2010,48.7,0.17008125,"THPL",2,13,0,0,0,11.7590857310844,76.4340572520487,88.1931429831331
"AB08",3,2013,"E",2010,48.7,0.17008125,"MYST",2,0,0,0,0,11.7590857310844,0,11.7590857310844
"AB08",3,2013,"E",2010,48.7,0.17008125,"CANO",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",3,2013,"E",2010,48.7,0.17008125,"TSHE",15,8,0,0,0,88.1931429831331,47.0363429243376,135.229485907471
"AB08",3,2014,"E",2010,48.7,0.17008125,"CANO",0,3,0,0,0,0,17.6386285966266,17.6386285966266
"AB08",3,2014,"E",2010,48.7,0.17008125,"TSHE",209,77,3,0,0,1228.82445889832,452.72480064675,1681.54925954507
"AB08",3,2014,"E",2010,48.7,0.17008125,"PSME",13,5,0,0,0,76.4340572520487,29.397714327711,105.83177157976
"AB08",3,2014,"E",2010,48.7,0.17008125,"THPL",22,20,0,0,0,129.349943041928,117.590857310844,246.940800352773
"AB08",3,2014,"E",2010,48.7,0.17008125,"ABGR",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",3,2015,"E",2010,48.7,0.17008125,"PSME",3,0,0,0,0,17.6386285966266,0,17.6386285966266
"AB08",3,2015,"E",2010,48.7,0.17008125,"TSHE",11,13,3,0,0,64.6749715209642,76.4340572520487,141.109028773013
"AB08",3,2015,"E",2010,48.7,0.17008125,"THPL",5,6,0,0,0,29.397714327711,35.2772571932532,64.6749715209642
"AB08",3,2016,"E",2010,48.7,0.17008125,"TSHE",60,12,3,1,1,358.652114798074,76.4340572520487,435.086172050123
"AB08",3,2016,"E",2010,48.7,0.17008125,"ABAM",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",3,2016,"E",2010,48.7,0.17008125,"THPL",0,1,0,0,0,0,5.8795428655422,5.8795428655422
"AB08",3,2017,"E",2010,48.7,0.17008125,"THPL",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",3,2017,"E",2010,48.7,0.17008125,"TSHE",133,42,1,0,0,781.979201117113,246.940800352773,1028.92000146989
"AB08",3,2018,"E",2010,48.7,0.17008125,"THPL",1,1,1,0,0,5.8795428655422,5.8795428655422,11.7590857310844
"AB08",3,2018,"E",2010,48.7,0.17008125,"TSHE",7,26,0,0,0,41.1568000587954,152.868114504097,194.024914562893
"AB08",3,2019,"E",2010,48.7,0.17008125,"THPL",9,0,0,0,0,52.9158857898798,0,52.9158857898798
"AB08",3,2019,"E",2010,48.7,0.17008125,"TSHE",586,36,5,0,0,3445.41211920773,211.663543159519,3657.07566236725
"AB08",3,2019,"E",2010,48.7,0.17008125,"PSME",4,3,0,0,0,23.5181714621688,17.6386285966266,41.1568000587954
"AB08",3,2019,"E",2010,48.7,0.17008125,"ABAM",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",3,2020,"E",2010,48.7,0.17008125,"TSHE",21,1,6,1,0,129.349943041928,5.8795428655422,135.229485907471
"AB08",3,2021,"E",2010,48.7,0.17008125,"CANO",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",3,2021,"E",2010,48.7,0.17008125,"THPL",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",3,2021,"E",2010,48.7,0.17008125,"TSME",12,0,2,0,0,70.5545143865065,0,70.5545143865065
"AB08",3,2022,"E",2010,48.7,0.17008125,"TSHE",17,82,5,0,0,99.9522287142175,482.122514974461,582.074743688678
"AB08",3,2022,"E",2010,48.7,0.17008125,"PSME",15,1.5,0,0,0,88.1931429831331,8.81931429831331,97.0124572814464
"AB08",3,2022,"E",2010,48.7,0.17008125,"Mistletoe",9,0,0,0,0,52.9158857898798,0,52.9158857898798
"AB08",3,2022,"E",2010,48.7,0.17008125,"THPL",16,29,0,0,0,94.0726858486753,170.506743100724,264.579428949399
"AB08",3,2022,"E",2010,48.7,0.17008125,"ABAM",0,1,0,0,0,0,5.8795428655422,5.8795428655422
"AB08",3,2022,"E",2010,48.7,0.17008125,"CANO",0,0.5,0,0,0,0,2.9397714327711,2.9397714327711
"AB08",4,2010,"E",2010,51.8,0.17008125,"PSME",3,1,0,0,0,17.6386285966266,5.8795428655422,23.5181714621688
"AB08",4,2010,"E",2010,51.8,0.17008125,"THPL",9,0,0,0,0,52.9158857898798,0,52.9158857898798
"AB08",4,2010,"E",2010,51.8,0.17008125,"TSHE",350,88,5,0,0,2057.84000293977,517.399772167714,2575.23977510749
"AB08",4,2011,"E",2010,51.8,0.17008125,"PSME",3,0,0,0,0,17.6386285966266,0,17.6386285966266
"AB08",4,2011,"E",2010,51.8,0.17008125,"TSHE",86,11,8,0,0,505.64068643663,64.6749715209642,570.315657957594
"AB08",4,2012,"E",2010,51.8,0.17008125,"THPL",95,15,0,0,0,558.556572226509,88.1931429831331,646.749715209642
"AB08",4,2012,"E",2010,51.8,0.17008125,"TSHE",218,17,7,0,0,1281.7403446882,99.9522287142175,1381.69257340242
"AB08",4,2012,"E",2010,51.8,0.17008125,"PSME",2,1,0,0,0,11.7590857310844,5.8795428655422,17.6386285966266
"AB08",4,2012,"E",2010,51.8,0.17008125,"ABAM",2,0,0,0,0,11.7590857310844,0,11.7590857310844
"AB08",4,2013,"E",2010,51.8,0.17008125,"PSME",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",4,2013,"E",2010,51.8,0.17008125,"TSHE",24,12,10,0,0,141.109028773013,70.5545143865065,211.663543159519
"AB08",4,2013,"E",2010,51.8,0.17008125,"THPL",0,10,0,0,0,0,58.795428655422,58.795428655422
"AB08",4,2014,"E",2010,51.8,0.17008125,"ABAM",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",4,2014,"E",2010,51.8,0.17008125,"TSHE",190,145,3,0,0,1117.11314445302,852.53371550362,1969.64685995664
"AB08",4,2014,"E",2010,51.8,0.17008125,"PSME",17,9,0,0,0,99.9522287142175,52.9158857898798,152.868114504097
"AB08",4,2014,"E",2010,51.8,0.17008125,"CANO",2,3,0,0,0,11.7590857310844,17.6386285966266,29.397714327711
"AB08",4,2014,"E",2010,51.8,0.17008125,"THPL",14,38,0,0,0,82.3136001175909,223.422628890604,305.736229008195
"AB08",4,2014,"E",2010,51.8,0.17008125,"ABGR",0,1,0,0,0,0,5.8795428655422,5.8795428655422
"AB08",4,2015,"E",2010,51.8,0.17008125,"TSHE",13,51,6,0,3,76.4340572520487,317.495314739279,393.929371991328
"AB08",4,2015,"E",2010,51.8,0.17008125,"PSME",2,1,0,0,0,11.7590857310844,5.8795428655422,17.6386285966266
"AB08",4,2015,"E",2010,51.8,0.17008125,"THPL",0,5,1,0,5,0,58.795428655422,58.795428655422
"AB08",4,2016,"E",2010,51.8,0.17008125,"TSHE",69,25,6,3,8,423.327086319039,194.024914562893,617.352000881932
"AB08",4,2017,"E",2010,51.8,0.17008125,"THPL",5,2,0,0,0,29.397714327711,11.7590857310844,41.1568000587954
"AB08",4,2017,"E",2010,51.8,0.17008125,"PSME",2,0,0,0,0,11.7590857310844,0,11.7590857310844
"AB08",4,2017,"E",2010,51.8,0.17008125,"TSHE",243,61,7,11,8,1493.40388784772,405.688457722412,1899.09234557013
"AB08",4,2018,"E",2010,51.8,0.17008125,"TSHE",9,23,6,0,1,52.9158857898798,141.109028773013,194.024914562893
"AB08",4,2019,"E",2010,51.8,0.17008125,"PSME",6,7,0,0,0,35.2772571932532,41.1568000587954,76.4340572520487
"AB08",4,2019,"E",2010,51.8,0.17008125,"THPL",9,1,0,0,0,52.9158857898798,5.8795428655422,58.795428655422
"AB08",4,2019,"E",2010,51.8,0.17008125,"ALRU",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",4,2019,"E",2010,51.8,0.17008125,"ABAM",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",4,2019,"E",2010,51.8,0.17008125,"TSHE",588,25,9,4,0,3480.68937640099,146.988571638555,3627.67794803954
"AB08",4,2021,"E",2010,51.8,0.17008125,"CANO",1,4,0,0,0,5.8795428655422,23.5181714621688,29.397714327711
"AB08",4,2021,"E",2010,51.8,0.17008125,"PSME",0,1,0,0,0,0,5.8795428655422,5.8795428655422
"AB08",4,2021,"E",2010,51.8,0.17008125,"TSHE",20,2,7,0,0,117.590857310844,11.7590857310844,129.349943041928
"AB08",4,2021,"E",2010,51.8,0.17008125,"THPL",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",4,2022,"E",2010,51.8,0.17008125,"ABAM",0,2,0,0,0,0,11.7590857310844,11.7590857310844
"AB08",4,2022,"E",2010,51.8,0.17008125,"PSME",19,1,0,0,0,111.711314445302,5.8795428655422,117.590857310844
"AB08",4,2022,"E",2010,51.8,0.17008125,"TSHE",53,120,5,0,2,311.615771873737,717.304229596149,1028.92000146989
"AB08",4,2022,"E",2010,51.8,0.17008125,"CANO",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",4,2022,"E",2010,51.8,0.17008125,"THPL",44,10,0,0,0,258.699886083857,58.795428655422,317.495314739279
"AB08",5,2010,"E",2010,58.5,0.17008125,"PSME",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",5,2010,"E",2010,58.5,0.17008125,"ABAM",2,0,0,0,0,11.7590857310844,0,11.7590857310844
"AB08",5,2010,"E",2010,58.5,0.17008125,"THPL",21,0,0,0,0,123.470400176386,0,123.470400176386
"AB08",5,2010,"E",2010,58.5,0.17008125,"TSHE",503,47,5,0,0,2957.41006136773,276.338514680484,3233.74857604821
"AB08",5,2011,"E",2010,58.5,0.17008125,"THPL",4,0,0,0,0,23.5181714621688,0,23.5181714621688
"AB08",5,2011,"E",2010,58.5,0.17008125,"TSHE",34,5,21,0,0,199.904457428435,29.397714327711,229.302171756146
"AB08",5,2012,"E",2010,58.5,0.17008125,"TSHE",283,15,12,0,0,1663.91063094844,88.1931429831331,1752.10377393158
"AB08",5,2012,"E",2010,58.5,0.17008125,"THPL",158,14,0,0,0,928.967772755668,82.3136001175909,1011.28137287326
"AB08",5,2012,"E",2010,58.5,0.17008125,"ABAM",2,0,0,0,0,11.7590857310844,0,11.7590857310844
"AB08",5,2013,"E",2010,58.5,0.17008125,"TSHE",0,2,5,0,0,0,11.7590857310844,11.7590857310844
"AB08",5,2013,"E",2010,58.5,0.17008125,"THPL",4,5,0,0,0,23.5181714621688,29.397714327711,52.9158857898798
"AB08",5,2014,"E",2010,58.5,0.17008125,"THPL",55,41,0,0,0,323.374857604821,241.06125748723,564.436115092052
"AB08",5,2014,"E",2010,58.5,0.17008125,"PSME",22,3,0,0,0,129.349943041928,17.6386285966266,146.988571638555
"AB08",5,2014,"E",2010,58.5,0.17008125,"ABAM",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",5,2014,"E",2010,58.5,0.17008125,"TSHE",316,62,6,0,0,1857.93554551134,364.531657663617,2222.46720317495
"AB08",5,2015,"E",2010,58.5,0.17008125,"TSHE",10,30,6,0,0,58.795428655422,176.386285966266,235.181714621688
"AB08",5,2015,"E",2010,58.5,0.17008125,"PSME",1,3,0,0,0,5.8795428655422,17.6386285966266,23.5181714621688
"AB08",5,2015,"E",2010,58.5,0.17008125,"THPL",4,3,0,0,0,23.5181714621688,17.6386285966266,41.1568000587954
"AB08",5,2016,"E",2010,58.5,0.17008125,"THPL",2,0,0,0,0,11.7590857310844,0,11.7590857310844
"AB08",5,2016,"E",2010,58.5,0.17008125,"PSME",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",5,2016,"E",2010,58.5,0.17008125,"TSHE",109,33,12,2,0,652.629258075185,194.024914562893,846.654172638077
"AB08",5,2017,"E",2010,58.5,0.17008125,"THPL",6,2,0,0,0,35.2772571932532,11.7590857310844,47.0363429243376
"AB08",5,2017,"E",2010,58.5,0.17008125,"PSME",4,3,0,0,0,23.5181714621688,17.6386285966266,41.1568000587954
"AB08",5,2017,"E",2010,58.5,0.17008125,"TSHE",222,75,16,6,3,1340.53577334362,458.604343512292,1799.14011685591
"AB08",5,2018,"E",2010,58.5,0.17008125,"TSHE",5,22,10,0,0,29.397714327711,129.349943041928,158.74765736964
"AB08",5,2019,"E",2010,58.5,0.17008125,"THPL",17,2,0,0,0,99.9522287142175,11.7590857310844,111.711314445302
"AB08",5,2019,"E",2010,58.5,0.17008125,"PSME",6,8,0,0,0,35.2772571932532,47.0363429243376,82.3136001175909
"AB08",5,2019,"E",2010,58.5,0.17008125,"TSHE",627,72,12,3,2,3704.11200529159,435.086172050123,4139.19817734171
"AB08",5,2019,"E",2010,58.5,0.17008125,"ABAM",2,0,0,0,0,11.7590857310844,0,11.7590857310844
"AB08",5,2020,"E",2010,58.5,0.17008125,"TSHE",24,0,13,2,0,152.868114504097,0,152.868114504097
"AB08",5,2021,"E",2010,58.5,0.17008125,"THPL",2,0,0,0,0,11.7590857310844,0,11.7590857310844
"AB08",5,2021,"E",2010,58.5,0.17008125,"CANO",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",5,2021,"E",2010,58.5,0.17008125,"TSHE",23,5,9,4,0,158.74765736964,29.397714327711,188.145371697351
"AB08",5,2022,"E",2010,58.5,0.17008125,"THPL",5,59,0,0,0,29.397714327711,346.89302906699,376.290743394701
"AB08",5,2022,"E",2010,58.5,0.17008125,"PSME",19,2,0,0,0,111.711314445302,11.7590857310844,123.470400176386
"AB08",5,2022,"E",2010,58.5,0.17008125,"Mistletoe",4,0,0,0,0,23.5181714621688,0,23.5181714621688
"AB08",5,2022,"E",2010,58.5,0.17008125,"TSHE",21,134,7,0,0,123.470400176386,787.858743982655,911.329144159042
"AB08",5,2022,"E",2010,58.5,0.17008125,"CANO",0,1,0,0,0,0,5.8795428655422,5.8795428655422
"AB08",6,2010,"E",2010,62.6,0.17008125,"THPL",14,0,2,0,0,82.3136001175909,0,82.3136001175909
"AB08",6,2010,"E",2010,62.6,0.17008125,"TSHE",472,112,20,0,0,2775.14423253592,658.508800940727,3433.65303347665
"AB08",6,2010,"E",2010,62.6,0.17008125,"PSME",8,0,0,0,0,47.0363429243376,0,47.0363429243376
"AB08",6,2011,"E",2010,62.6,0.17008125,"THPL",0,0,5,0,0,0,0,0
"AB08",6,2011,"E",2010,62.6,0.17008125,"PSME",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",6,2011,"E",2010,62.6,0.17008125,"TSHE",52,6,66,0,0,305.736229008195,35.2772571932532,341.013486201448
"AB08",6,2012,"E",2010,62.6,0.17008125,"THPL",235,9,1,0,0,1381.69257340242,52.9158857898798,1434.6084591923
"AB08",6,2012,"E",2010,62.6,0.17008125,"TSHE",335,7,17,0,0,1969.64685995664,41.1568000587954,2010.80366001543
"AB08",6,2012,"E",2010,62.6,0.17008125,"ABAM",2,0,0,0,0,11.7590857310844,0,11.7590857310844
"AB08",6,2013,"E",2010,62.6,0.17008125,"TSHE",6,5,16,0,0,35.2772571932532,29.397714327711,64.6749715209642
"AB08",6,2013,"E",2010,62.6,0.17008125,"THPL",1,5,0,0,0,5.8795428655422,29.397714327711,35.2772571932532
"AB08",6,2013,"E",2010,62.6,0.17008125,"PSME",0,1,0,0,0,0,5.8795428655422,5.8795428655422
"AB08",6,2014,"E",2010,62.6,0.17008125,"TSHE",189,205,26,12,7,1181.78811597398,1246.46308749495,2428.25120346893
"AB08",6,2014,"E",2010,62.6,0.17008125,"PSME",26,0,0,0,0,152.868114504097,0,152.868114504097
"AB08",6,2014,"E",2010,62.6,0.17008125,"THPL",80,47,0,0,0,470.363429243376,276.338514680484,746.70194392386
"AB08",6,2014,"E",2010,62.6,0.17008125,"ABAM",1,1,0,0,0,5.8795428655422,5.8795428655422,11.7590857310844
