Side,Stand,Trap,FirstYearData,LastYearData,Size
SW,PARA,1,2010,2024,0.17008125
SW,PARA,2,2010,2024,0.130725
SW,PARA,3,2010,2024,0.17008125
SW,PARA,4,2010,2024,0.17008125
SW,PARA,5,2010,2024,0.17008125
SW,PARA,6,2010,2024,0.17008125
SW,PARA,7,2024,NA,NA
SW,PARA,8,2024,NA,NA
SW,PARA,9,2024,NA,NA
SW,PARA,10,2024,NA,NA
SW,PARA,11,2024,NA,NA
SW,PARA,12,2024,NA,NA
SW,PARA,13,2024,NA,NA
SW,PARA,14,2024,NA,NA
SW,PARA,15,2024,NA,NA
E,PP17,1,2010,2020,0.17008125
E,PP17,2,2010,2020,0.17008125
E,PP17,3,2010,2020,0.17008125
E,PP17,4,2010,2020,0.17008125
E,PP17,5,2010,2020,0.17008125
E,PP17,6,2010,2020,0.17008125
NW,SPRY,1,2011,2020,0.17008125
NW,SPRY,2,2011,2020,0.17008125
NW,SPRY,3,2011,2020,0.17008125
NW,SPRY,4,2011,2020,0.17008125
NW,SPRY,5,2011,2020,0.17008125
NW,SPRY,6,2011,2020,0.17008125
E,SUNR,1,2011,NA,0.17008125
E,SUNR,2,2011,NA,0.17008125
E,SUNR,3,2011,NA,0.130725
E,SUNR,4,2011,NA,0.17008125
E,SUNR,5,2011,NA,0.17008125
E,SUNR,6,2011,NA,0.17008125
E,TA01,1,2010,2022,0.17008125
E,TA01,2,2010,2022,0.17008125
E,TA01,3,2010,2022,0.17008125
E,TA01,4,2010,2022,0.17008125
E,TA01,5,2010,2022,0.17008125
E,TA01,6,2010,2022,0.17008125
E,TA01,7,2022,NA,NA
E,TA01,8,2022,NA,NA
E,TA01,9,2022,NA,NA
E,TA01,10,2022,NA,NA
E,TA01,11,2022,NA,NA
E,TA01,12,2022,NA,NA
E,TA01,13,2022,NA,NA
E,TA01,14,2022,NA,NA
E,TA01,15,2022,NA,NA
SW,TB13,1,2009,2020,0.17008125
SW,TB13,2,2009,2020,0.17008125
SW,TB13,3,2009,2020,0.17008125
SW,TB13,4,2009,2020,0.17008125
SW,TB13,5,2009,2020,0.17008125
SW,TB13,6,2009,2020,0.17008125
SW,TO04,1,2009,2022,0.17008125
SW,TO04,2,2009,2022,0.17008125
SW,TO04,3,2009,2022,0.17008125
SW,TO04,4,2009,2022,0.17008125
SW,TO04,5,2009,2022,0.17008125
SW,TO04,6,2009,2022,0.17008125
SW,TO04,7,2022,NA,NA
SW,TO04,8,2022,NA,NA
SW,TO04,9,2022,NA,NA
SW,TO04,10,2022,NA,NA
SW,TO04,11,2022,NA,NA
SW,TO04,12,2022,NA,NA
SW,TO04,13,2022,NA,NA
SW,TO04,14,2022,NA,NA
SW,TO04,15,2022,NA,NA
NW,TO11,1,2010,2020,0.17008125
NW,TO11,2,2010,2020,0.17008125
NW,TO11,3,2010,2020,0.17008125
NW,TO11,4,2010,2020,0.130725
NW,TO11,5,2010,2020,0.17008125
NW,TO11,6,2010,2020,0.17008125
